review_id,employee_id,review_type,evaluation_period_start,evaluation_period_end,self_evaluation_timestamp,self_rating,self_comment,manager_evaluation_timestamp,manager_rating,manager_comment,rating_gap,evaluation_status
CR00011,EMP000,목표 달성 평가,2010-09-06,2011-01-02,2011-01-05 13:44:00,A,품질 지표 20% 향상한 것이 주요 성과입니다. 특히 팀 전체 생산성 향상에 기여한 점이 의미 있었습니다.,2011-01-12 15:38:00,A,"목표 109% 달성으로 우수한 성과를 보였습니다. 높은 업무 이해도가 돋보였으며, 전문가로서 입지 확고.",0,완료
CR00012,EMP000,목표 달성 평가,2012-02-14,2012-03-22,2012-03-28 12:26:00,A,"해당 기간 동안 생산성 13% 향상하였습니다. 데이터 분석 역량을 새롭게 습득하며 전문성을 높였고, 정기 미팅 주도로 협업 효율성 증대하였습니다.",2012-04-04 16:55:00,B,"주어진 역할 완수했으나, 선제적 대응이 필요합니다. 다음 평가에서는 역량 향상 노력 기대.",1,완료
CR00013,EMP000,수시 평가,2011-12-26,2012-02-11,2012-02-14 13:21:00,A,이번 평가 기간의 핵심 성과는 주요 마일스톤 8건 완료입니다. 또한 고객 만족도 점수 상승에 기여했습니다.,2012-02-18 16:35:00,A,팀 목표 달성에 기여하는 우수한 성과. 승진 검토 대상.,0,완료
CR00014,EMP000,목표 달성 평가,2011-06-05,2011-08-20,2011-08-25 16:28:00,A,이번 평가 기간의 핵심 성과는 분기 목표 131% 달성입니다. 또한 업무 효율화로 팀 전체 시간 20% 절감했습니다.,2011-08-27 14:14:00,B,"기본 책임 이행했으나, 창의적인 접근이 필요합니다. 다음 평가에서는 자기주도적 개선 기대.",1,완료
CR00015,EMP000,분기 평가,2012-04-18,2012-05-28,2012-06-04 11:56:00,A,분기 목표 99% 달성한 것이 주요 성과입니다. 특히 팀 전체 생산성 향상에 기여한 점이 의미 있었습니다.,2012-06-11 09:46:00,A,"목표 106% 달성으로 우수한 성과를 보였습니다. 적극적인 협업 태도가 돋보였으며, 전문가로서 입지 확고.",0,완료
CR00016,DIV001,분기 평가,2012-07-05,2012-10-21,2012-10-27 15:06:00,B,"주니어 개발자 2명 지원하며 팀워크를 강화했고, 프로젝트 일정 대비 12일 조기 완료하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2012-10-30 18:50:00,B,"기본 책임 이행했으나, 창의적인 접근이 필요합니다. 다음 평가에서는 성과 제고 기대.",0,완료
CR00017,DIV001,목표 달성 평가,2013-06-08,2013-09-07,2013-09-13 17:15:00,S,"해당 기간 동안 분기 목표 132% 달성하였습니다. 데이터 분석 역량을 새롭게 습득하며 전문성을 높였고, 유관 팀과 8회 이상 협업 프로젝트 수행하였습니다.",2013-09-22 17:12:00,S,기대를 훨씬 상회하는 성과입니다. 팀 전체 생산성 향상에 기여. 회사의 미래를 책임질 인재입니다.,0,완료
CR00018,DIV001,분기 평가,2014-10-14,2015-01-02,2015-01-08 15:17:00,A,"해당 기간 동안 주요 마일스톤 5건 완료하였습니다. 프로젝트 관리 역량을 새롭게 습득하며 전문성을 높였고, 팀 내 문제 해결에 기여하였습니다.",2015-01-17 10:01:00,B,"맡은 업무는 수행했으나, 보다 적극적인 태도이 필요합니다. 다음 평가에서는 성과 제고 기대.",1,완료
CR00019,DIV001,분기 평가,2014-07-05,2014-08-11,2014-08-18 15:17:00,A,"타 부서와 6회 이상 협업 프로젝트 수행하며 팀워크를 강화했고, 분기 목표 132% 달성하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2014-08-27 15:47:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 교육 기회 제공하겠습니다.,1,완료
CR00020,DIV001,분기 평가,2014-10-28,2015-01-31,2015-02-06 10:06:00,S,"해당 기간 동안 업무 개선안 일정 대비 9일 조기 완료하였습니다. 후배 멘토링으로 지식 공유하며 전문성을 높였고, 신규 입사자 5명 지원하였습니다.",2015-02-10 14:32:00,A,팀 목표 달성에 기여하는 우수한 성과. 승진 검토 대상.,1,완료
CR00021,DIV001,목표 달성 평가,2012-06-14,2012-10-08,2012-10-13 14:45:00,B,"커뮤니케이션 개선로 협업 효율성 증대하며 팀워크를 강화했고, 중요 deliverable 6건 완료하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2012-10-15 16:50:00,C,목표 달성률 69%로 개선이 필요합니다. 우선순위 설정 오류가 주된 원인으로 파악됩니다. 집중 육성 프로그램 배정 예정.,1,완료
CR00022,DIV001,수시 평가,2015-03-14,2015-05-21,2015-05-22 18:46:00,A,"해당 기간 동안 신규 고객 27% 향상하였습니다. 클라우드 역량을 새롭게 습득하며 전문성을 높였고, 크로스 팀으로 10회 이상 협업 프로젝트 수행하였습니다.",2015-05-26 18:54:00,B,기본 목표는 달성했으나 커뮤니케이션 개선 필요한 부분이 있습니다. 시간 관리 능력 향상 권장.,1,완료
CR00023,DIV001,수시 평가,2013-10-21,2014-01-28,2014-01-29 11:29:00,A,"팀 내 의견 조율에 기여하며 팀워크를 강화했고, 분기 목표 113% 달성하는 성과를 냈습니다. 향후 혁신 프로젝트 리딩에 도전하고 싶습니다.",2014-02-06 09:31:00,A,"전반적으로 만족스러운 성과입니다. 문제 해결 능력에서 강점을 보였으나, 더 큰 그림을 보는 시각 강화 시 S등급 기대.",0,완료
CR00024,DIV001,수시 평가,2012-09-04,2012-11-10,2012-11-12 18:15:00,A,"신규 입사자 4명 지원하며 팀워크를 강화했고, 주요 마일스톤 4건 완료하는 성과를 냈습니다. 향후 혁신 프로젝트 리딩에 도전하고 싶습니다.",2012-11-21 15:16:00,B,"맡은 업무는 수행했으나, 창의적인 접근이 필요합니다. 다음 평가에서는 역량 향상 노력 기대.",1,완료
CR00025,DIV001,수시 평가,2012-12-20,2013-03-04,2013-03-05 18:09:00,A,"스터디 그룹 운영으로 지식 공유하고, 매출 30% 향상하며 기대 이상의 결과를 냈다고 자평합니다. 문서화 강화로 협업 효율성 증대하는 과정도 개인 성장에 도움이 되었습니다.",2013-03-10 12:23:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 개선 계획 수립하겠습니다.,1,완료
CR00026,DIV001,수시 평가,2014-10-30,2015-01-15,2015-01-20 09:44:00,B,"온라인 강의를 통해 전문성 강화하고, 핵심 KPI 4건 완료하며 기대 이상의 결과를 냈다고 자평합니다. 신규 입사자 2명 지원하는 과정도 개인 성장에 도움이 되었습니다.",2015-01-30 13:27:00,B,"기본 책임 이행했으나, 선제적 대응이 필요합니다. 다음 평가에서는 역량 향상 노력 기대.",0,완료
CR00027,DIV001,분기 평가,2014-05-29,2014-07-15,2014-07-20 15:35:00,A,이번 평가 기간의 핵심 성과는 프로젝트 일정 대비 17일 조기 완료입니다. 또한 비용 절감 아이디어 실행했습니다.,2014-07-27 15:56:00,A,안정적 결과물 산출하는 우수한 성과. 보다 도전적인 과제 부여 검토.,0,완료
CR00028,DIV002,프로젝트 종료 평가,2017-08-24,2017-11-20,2017-11-27 12:24:00,A,"스터디 그룹 운영으로 지식 공유하고, 핵심 KPI 5건 완료하며 기대 이상의 결과를 냈다고 자평합니다. 크로스 팀으로 9회 이상 협업 프로젝트 수행하는 과정도 개인 성장에 도움이 되었습니다.",2017-11-29 13:34:00,B,"맡은 업무는 수행했으나, 창의적인 접근이 필요합니다. 다음 평가에서는 역량 향상 노력 기대.",1,완료
CR00029,DIV002,프로젝트 종료 평가,2016-12-01,2017-03-15,2017-03-17 11:51:00,B,이번 평가 기간의 핵심 성과는 품질 지표 15% 향상입니다. 또한 업무 효율화로 팀 전체 시간 20% 절감했습니다.,2017-03-24 17:03:00,B,기본 목표는 달성했으나 주도성 부족한 부분이 있습니다. 협업 스킬 개발 권장.,0,완료
CR00030,DIV002,수시 평가,2016-09-22,2017-01-11,2017-01-18 12:21:00,S,"팀 내 합의 도출에 기여하며 팀워크를 강화했고, 분기 목표 118% 달성하는 성과를 냈습니다. 향후 혁신 프로젝트 리딩에 도전하고 싶습니다.",2017-01-24 16:09:00,A,팀 목표 달성에 기여하는 우수한 성과. 차기 프로젝트 핵심 역할 기대.,1,완료
CR00031,DIV002,수시 평가,2018-09-25,2019-01-08,2019-01-15 11:10:00,S,"신규 입사자 4명 지원하며 팀워크를 강화했고, 프로젝트 일정 대비 6일 조기 완료하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2019-01-20 11:18:00,S,뛰어난 기술력으로 프로젝트를 성공으로 이끌었습니다. 조직의 핵심 자산로 평가됩니다.,0,완료
CR00032,DIV002,수시 평가,2018-09-30,2018-12-21,2018-12-28 15:18:00,B,혁신 과제 일정 대비 11일 조기 완료한 것이 주요 성과입니다. 특히 어려운 기술 이슈를 독자적으로 해결한 점이 의미 있었습니다.,2018-12-30 17:48:00,C,목표 달성률 66%로 개선이 필요합니다. 우선순위 설정 오류가 주된 원인으로 파악됩니다. 멘토 지정 및 지원 강화 예정.,1,완료
CR00033,DIV002,수시 평가,2016-10-25,2017-02-07,2017-02-10 14:24:00,B,"실무 프로젝트를 통해 전문성 강화하고, 품질 지표 39% 향상하며 기대 이상의 결과를 냈다고 자평합니다. 문서화 강화로 협업 효율성 증대하는 과정도 개인 성장에 도움이 되었습니다.",2017-02-19 09:33:00,C,성과가 기대 수준 이하입니다. 즉시 개선 조치 필요. 차기 평가에서 명확한 개선 확인 필요.,1,완료
CR00034,DIV002,분기 평가,2017-01-03,2017-03-26,2017-04-01 13:04:00,A,이번 평가 기간의 핵심 성과는 생산성 40% 향상입니다. 또한 고객 만족도 점수 상승에 기여했습니다.,2017-04-05 15:42:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 멘토링 지원 예정하겠습니다.,1,완료
CR00035,DIV002,수시 평가,2018-09-22,2018-10-25,2018-10-30 10:47:00,S,분기 목표 128% 달성한 것이 주요 성과입니다. 특히 팀 전체 생산성 향상에 기여한 점이 의미 있었습니다.,2018-11-01 10:46:00,S,뛰어난 기술력으로 프로젝트를 성공으로 이끌었습니다. 팀원들의 롤모델로 평가됩니다.,0,완료
CR00036,DIV002,수시 평가,2016-04-11,2016-07-10,2016-07-16 11:04:00,A,"프로젝트 팀원 2명 지원하며 팀워크를 강화했고, 품질 지표 15% 향상하는 성과를 냈습니다. 향후 더 큰 책임의 역할에 도전하고 싶습니다.",2016-07-23 12:34:00,A,이해관계자 기대 부응하는 우수한 성과. 차기 프로젝트 핵심 역할 기대.,0,완료
CR00037,DIV002,분기 평가,2016-10-11,2017-01-28,2017-02-04 14:16:00,A,중요 deliverable 4건 완료한 것이 주요 성과입니다. 특히 프로세스 혁신안 제안 및 적용한 점이 의미 있었습니다.,2017-02-09 13:45:00,A,"전반적으로 만족스러운 성과입니다. 커뮤니케이션 역량에서 강점을 보였으나, 이니셔티브 발휘 강화 시 S등급 기대.",0,완료
CR00038,DIV002,분기 평가,2017-02-26,2017-03-31,2017-04-06 16:25:00,A,"해당 기간 동안 중요 deliverable 7건 완료하였습니다. 실무 프로젝트를 통해 전문성 강화하며 전문성을 높였고, 외부 파트너와 8회 이상 협업 프로젝트 수행하였습니다.",2017-04-15 12:48:00,B,"주어진 역할 완수했으나, 선제적 대응이 필요합니다. 다음 평가에서는 도전적 목표 설정 기대.",1,완료
CR00039,DIV002,프로젝트 종료 평가,2018-11-09,2019-01-02,2019-01-05 12:47:00,A,"팀 내 문제 해결에 기여하며 팀워크를 강화했고, 분기 목표 115% 달성하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2019-01-08 14:52:00,A,일정 내 품질 기준 충족하는 우수한 성과. 보다 도전적인 과제 부여 검토.,0,완료
CR00040,DIV002,수시 평가,2018-02-26,2018-06-21,2018-06-27 10:27:00,S,"해당 기간 동안 핵심 KPI 5건 완료하였습니다. AI/ML 역량을 새롭게 습득하며 전문성을 높였고, 외부 파트너와 9회 이상 협업 프로젝트 수행하였습니다.",2018-07-01 11:44:00,A,"목표 108% 달성으로 우수한 성과를 보였습니다. 안정적인 프로젝트 수행가 돋보였으며, 다음 단계 역할 준비 필요.",1,완료
CR00041,DIV002,목표 달성 평가,2018-07-04,2018-08-17,2018-08-21 15:47:00,A,"외부 파트너와 5회 이상 협업 프로젝트 수행하며 팀워크를 강화했고, 주요 마일스톤 5건 완료하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2018-08-23 17:59:00,A,"전반적으로 만족스러운 성과입니다. 기술적 깊이에서 강점을 보였으나, 더 큰 그림을 보는 시각 강화 시 S등급 기대.",0,완료
CR00042,DIV002,분기 평가,2017-10-28,2017-12-10,2017-12-16 16:48:00,A,"크로스 팀으로 8회 이상 협업 프로젝트 수행하며 팀워크를 강화했고, 업무 개선안 일정 대비 6일 조기 완료하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2017-12-22 11:56:00,B,"기본 책임 이행했으나, 창의적인 접근이 필요합니다. 다음 평가에서는 자기주도적 개선 기대.",1,완료
CR00043,DIV003,목표 달성 평가,2015-10-02,2015-11-04,2015-11-05 18:09:00,A,이번 평가 기간의 핵심 성과는 혁신 과제 일정 대비 20일 조기 완료입니다. 또한 고객 만족도 점수 상승에 기여했습니다.,2015-11-12 15:43:00,B,평균적인 성과입니다. 커뮤니케이션 강화 필요. 1:1 코칭 진행하겠습니다.,1,완료
CR00044,DIV003,목표 달성 평가,2016-02-18,2016-06-04,2016-06-11 16:03:00,A,"주니어 개발자 4명 지원하며 팀워크를 강화했고, 주요 마일스톤 8건 완료하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2016-06-17 12:32:00,A,"전반적으로 만족스러운 성과입니다. 커뮤니케이션 역량에서 강점을 보였으나, 이니셔티브 발휘 강화 시 S등급 기대.",0,완료
CR00045,DIV003,수시 평가,2017-08-26,2017-12-03,2017-12-07 15:11:00,S,분기 목표 135% 달성한 것이 주요 성과입니다. 특히 이해관계자 기대를 초과 충족한 점이 의미 있었습니다.,2017-12-10 17:08:00,A,팀 목표 달성에 기여하는 우수한 성과. 차기 프로젝트 핵심 역할 기대.,1,완료
CR00046,DIV003,분기 평가,2015-05-10,2015-07-20,2015-07-27 12:23:00,B,"신규 입사자 4명 지원하며 팀워크를 강화했고, 업무 개선안 일정 대비 7일 조기 완료하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2015-08-01 12:44:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 멘토링 지원 예정하겠습니다.,0,완료
CR00047,DIV003,분기 평가,2018-03-03,2018-04-28,2018-05-02 11:55:00,S,"해당 기간 동안 업무 개선안 일정 대비 5일 조기 완료하였습니다. 후배 멘토링으로 지식 공유하며 전문성을 높였고, 팀 내 갈등 조정에 기여하였습니다.",2018-05-05 10:08:00,A,"목표 105% 달성으로 우수한 성과를 보였습니다. 기술적 전문성가 돋보였으며, 리더십 역량 개발 시 더 큰 성장 기대.",1,완료
CR00048,DIV003,수시 평가,2016-07-08,2016-09-19,2016-09-25 15:01:00,A,이번 평가 기간의 핵심 성과는 중요 deliverable 6건 완료입니다. 또한 업무 효율화로 팀 전체 시간 20% 절감했습니다.,2016-10-03 13:13:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 멘토링 지원 예정하겠습니다.,1,완료
CR00049,DIV003,분기 평가,2015-08-10,2015-10-04,2015-10-06 16:01:00,S,"해당 기간 동안 업무 개선안 일정 대비 11일 조기 완료하였습니다. Python 역량을 새롭게 습득하며 전문성을 높였고, 타 부서와 6회 이상 협업 프로젝트 수행하였습니다.",2015-10-11 16:30:00,S,"목표를 136% 초과 달성하는 탁월한 성과를 보였습니다. 이해관계자들로부터 극찬했으며, 승진 후보로 추천.",0,완료
CR00050,DIV003,분기 평가,2018-03-15,2018-05-23,2018-05-25 11:16:00,B,"프로젝트 관리 역량을 새롭게 습득하고, 업무 개선안 일정 대비 14일 조기 완료하며 기대 이상의 결과를 냈다고 자평합니다. 정기 미팅 주도로 협업 효율성 증대하는 과정도 개인 성장에 도움이 되었습니다.",2018-05-27 18:25:00,C,성과가 기대 수준 이하입니다. 역량 진단 및 교육 필요. 차기 평가에서 명확한 개선 확인 필요.,1,완료
CR00051,DIV003,프로젝트 종료 평가,2018-02-12,2018-05-11,2018-05-17 10:23:00,A,생산성 17% 향상한 것이 주요 성과입니다. 특히 이해관계자 기대를 초과 충족한 점이 의미 있었습니다.,2018-05-24 14:05:00,B,"맡은 업무는 수행했으나, 능동적인 문제 해결이 필요합니다. 다음 평가에서는 역량 향상 노력 기대.",1,완료
CR00052,DIV003,분기 평가,2015-05-23,2015-08-21,2015-08-27 11:27:00,A,"사내 세미나 발표으로 지식 공유하고, 분기 목표 128% 달성하며 기대 이상의 결과를 냈다고 자평합니다. 타 팀 동료 5명 지원하는 과정도 개인 성장에 도움이 되었습니다.",2015-08-29 13:36:00,B,"맡은 업무는 수행했으나, 능동적인 문제 해결이 필요합니다. 다음 평가에서는 자기주도적 개선 기대.",1,완료
CR00053,DIV003,프로젝트 종료 평가,2017-10-11,2018-01-18,2018-01-20 12:37:00,S,"해당 기간 동안 프로젝트 일정 대비 17일 조기 완료하였습니다. 온라인 강의를 통해 전문성 강화하며 전문성을 높였고, 팀 내 갈등 조정에 기여하였습니다.",2018-01-22 12:31:00,A,"전반적으로 만족스러운 성과입니다. 문제 해결 능력에서 강점을 보였으나, 타 팀 협업 강화 시 S등급 기대.",1,완료
CR00054,DIV003,수시 평가,2018-02-26,2018-06-02,2018-06-03 14:26:00,A,"크로스 팀으로 3회 이상 협업 프로젝트 수행하며 팀워크를 강화했고, 분기 목표 135% 달성하는 성과를 냈습니다. 향후 혁신 프로젝트 리딩에 도전하고 싶습니다.",2018-06-12 14:54:00,A,팀 목표 달성에 기여하는 우수한 성과. 역량 확장 기회 제공 예정.,0,완료
CR00055,TL001,분기 평가,2021-01-21,2021-04-19,2021-04-23 14:10:00,A,이번 평가 기간의 핵심 성과는 품질 지표 15% 향상입니다. 또한 신규 도구 도입으로 품질 향상했습니다.,2021-04-25 10:46:00,B,기본 목표는 달성했으나 일정이 다소 지연한 부분이 있습니다. 적극성 제고 권장.,1,완료
CR00056,TL001,목표 달성 평가,2021-06-05,2021-08-10,2021-08-11 09:59:00,S,이번 평가 기간의 핵심 성과는 업무 개선안 일정 대비 20일 조기 완료입니다. 또한 업무 효율화로 팀 전체 시간 20% 절감했습니다.,2021-08-20 16:10:00,A,"목표 100% 달성으로 우수한 성과를 보였습니다. 높은 업무 이해도가 돋보였으며, 다음 단계 역할 준비 필요.",1,완료
CR00057,TL001,수시 평가,2021-02-15,2021-03-23,2021-03-28 15:42:00,S,"투명한 정보 공유로 협업 효율성 증대하며 팀워크를 강화했고, 핵심 KPI 4건 완료하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2021-04-04 13:18:00,S,기대를 훨씬 상회하는 성과입니다. 복잡한 프로젝트를 단독으로 이끔. 회사의 미래를 책임질 인재입니다.,0,완료
CR00058,TL001,분기 평가,2022-09-02,2022-11-01,2022-11-05 09:31:00,B,이번 평가 기간의 핵심 성과는 분기 목표 107% 달성입니다. 또한 비용 절감 아이디어 실행했습니다.,2022-11-15 12:15:00,C,목표 달성률 73%로 개선이 필요합니다. 우선순위 설정 오류가 주된 원인으로 파악됩니다. 업무 범위 재조정 예정.,1,완료
CR00059,TL001,프로젝트 종료 평가,2022-11-20,2023-03-15,2023-03-16 18:51:00,A,프로젝트 일정 대비 13일 조기 완료한 것이 주요 성과입니다. 특히 팀 전체 생산성 향상에 기여한 점이 의미 있었습니다.,2023-03-26 09:38:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 교육 기회 제공하겠습니다.,1,완료
CR00060,TL001,분기 평가,2020-10-10,2021-01-21,2021-01-26 10:34:00,A,"팀 내 문제 해결에 기여하며 팀워크를 강화했고, 중요 deliverable 8건 완료하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2021-02-01 15:21:00,B,평균적인 성과입니다. 커뮤니케이션 강화 필요. 교육 기회 제공하겠습니다.,1,완료
CR00061,TL001,프로젝트 종료 평가,2021-07-22,2021-09-16,2021-09-18 16:06:00,S,이번 평가 기간의 핵심 성과는 프로젝트 일정 대비 19일 조기 완료입니다. 또한 업무 효율화로 팀 전체 시간 20% 절감했습니다.,2021-09-20 13:20:00,A,"전반적으로 만족스러운 성과입니다. 기술적 깊이에서 강점을 보였으나, 이니셔티브 발휘 강화 시 S등급 기대.",1,완료
CR00062,TL001,프로젝트 종료 평가,2023-01-07,2023-02-08,2023-02-15 12:24:00,A,이번 평가 기간의 핵심 성과는 주요 마일스톤 4건 완료입니다. 또한 고객 만족도 점수 상승에 기여했습니다.,2023-02-24 10:08:00,B,평균적인 성과입니다. 커뮤니케이션 강화 필요. 멘토링 지원 예정하겠습니다.,1,완료
CR00063,TL001,수시 평가,2021-07-06,2021-08-12,2021-08-17 14:41:00,B,"해당 기간 동안 분기 목표 104% 달성하였습니다. 스터디 그룹 운영으로 지식 공유하며 전문성을 높였고, 투명한 정보 공유로 협업 효율성 증대하였습니다.",2021-08-24 11:32:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 멘토링 지원 예정하겠습니다.,0,완료
CR00064,TL002,수시 평가,2017-09-15,2017-12-13,2017-12-15 13:58:00,A,"신규 입사자 5명 지원하며 팀워크를 강화했고, 핵심 KPI 8건 완료하는 성과를 냈습니다. 향후 더 큰 책임의 역할에 도전하고 싶습니다.",2017-12-19 17:23:00,A,일정 내 품질 기준 충족하는 우수한 성과. 역량 확장 기회 제공 예정.,0,완료
CR00065,TL002,목표 달성 평가,2018-04-04,2018-06-17,2018-06-23 13:20:00,A,"사내 세미나 발표으로 지식 공유하고, 분기 목표 108% 달성하며 기대 이상의 결과를 냈다고 자평합니다. 커뮤니케이션 개선로 협업 효율성 증대하는 과정도 개인 성장에 도움이 되었습니다.",2018-07-01 17:18:00,B,"주어진 역할 완수했으나, 능동적인 문제 해결이 필요합니다. 다음 평가에서는 자기주도적 개선 기대.",1,완료
CR00066,TL002,분기 평가,2015-10-24,2016-02-15,2016-02-16 18:41:00,B,"업무 효율화 방안 제안 및 실행하고, 품질 지표 15% 향상하며 기대 이상의 결과를 냈다고 자평합니다. 팀 내 문제 해결에 기여하는 과정도 개인 성장에 도움이 되었습니다.",2016-02-21 14:18:00,C,목표 달성률 77%로 개선이 필요합니다. 우선순위 설정 오류가 주된 원인으로 파악됩니다. 업무 범위 재조정 예정.,1,완료
CR00067,TL002,분기 평가,2018-01-21,2018-05-19,2018-05-20 12:43:00,B,"유관 팀과 3회 이상 협업 프로젝트 수행하며 팀워크를 강화했고, 핵심 KPI 4건 완료하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2018-05-24 11:06:00,B,평균적인 성과입니다. 기술적 역량 보완 필요. 교육 기회 제공하겠습니다.,0,완료
CR00068,TL002,분기 평가,2017-03-11,2017-06-21,2017-06-28 13:04:00,S,중요 deliverable 4건 완료한 것이 주요 성과입니다. 특히 프로세스 혁신안 제안 및 적용한 점이 의미 있었습니다.,2017-07-04 16:23:00,A,"목표 114% 달성으로 우수한 성과를 보였습니다. 기술적 전문성가 돋보였으며, 전문가로서 입지 확고.",1,완료
CR00069,TL002,수시 평가,2015-07-24,2015-11-02,2015-11-04 18:52:00,B,"문서화 강화로 협업 효율성 증대하며 팀워크를 강화했고, 신규 고객 38% 향상하는 성과를 냈습니다. 향후 전문가 트랙에 도전하고 싶습니다.",2015-11-10 13:44:00,B,평균적인 성과입니다. 업무 효율성 개선 필요. 개선 계획 수립하겠습니다.,0,완료
