record_id,employee_id,record_type,category,reason,action_date,monetary_amount,issued_by,description,impact_on_record
RD00042,EMP135,포상,혁신상,혁신 아이디어 제안 및 실행,2024-02-14,2000000,TL007,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00043,EMP142,포상,우수사원상,월간 우수사원 선정,2021-06-18,500000,TL008,우수사원상 수상: 월간 우수사원 선정,Positive
RD00044,EMP146,징계,정직,중대 규정 위반,2021-11-20,0,TL008,정직 조치: 중대 규정 위반,Negative
RD00045,EMP153,포상,우수사원상,월간 우수사원 선정,2023-01-14,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00046,EMP153,포상,우수사원상,월간 우수사원 선정,2022-08-25,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00047,EMP154,포상,고객만족상,고객 만족도 향상 기여,2019-01-19,1500000,TL009,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00048,EMP154,징계,구두경고,업무 태만,2018-02-09,0,TL009,구두경고 조치: 업무 태만,Negative
RD00049,EMP156,포상,혁신상,혁신 아이디어 제안 및 실행,2016-08-30,2000000,TL009,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00050,EMP156,징계,감봉,업무상 과실,2021-01-15,-500000,TL009,감봉 조치: 업무상 과실,Negative
RD00051,EMP158,포상,우수사원상,월간 우수사원 선정,2023-08-28,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00052,EMP158,포상,고객만족상,고객 만족도 향상 기여,2024-05-16,1500000,TL009,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00053,EMP158,포상,고객만족상,고객 만족도 향상 기여,2022-12-04,1500000,TL009,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00054,EMP160,포상,우수사원상,월간 우수사원 선정,2017-12-21,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00055,EMP169,포상,혁신상,혁신 아이디어 제안 및 실행,2019-09-20,2000000,TL009,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00056,EMP170,포상,우수사원상,월간 우수사원 선정,2024-08-09,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00057,EMP171,포상,우수사원상,월간 우수사원 선정,2019-11-24,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00058,EMP173,포상,공로상,프로젝트 성공적 완수,2024-07-05,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
RD00059,EMP173,징계,감봉,업무상 과실,2019-07-22,-500000,TL010,감봉 조치: 업무상 과실,Negative
RD00060,EMP179,포상,공로상,프로젝트 성공적 완수,2020-05-17,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
RD00061,EMP180,포상,고객만족상,고객 만족도 향상 기여,2022-09-03,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00062,EMP180,포상,고객만족상,고객 만족도 향상 기여,2021-04-22,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00063,EMP183,포상,혁신상,혁신 아이디어 제안 및 실행,2021-08-25,2000000,TL010,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00064,EMP184,포상,공로상,프로젝트 성공적 완수,2024-05-08,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
RD00065,EMP184,징계,구두경고,업무 태만,2019-05-15,0,TL010,구두경고 조치: 업무 태만,Negative
RD00066,EMP189,포상,고객만족상,고객 만족도 향상 기여,2021-05-28,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00067,EMP195,포상,고객만족상,고객 만족도 향상 기여,2016-11-27,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00068,EMP195,포상,공로상,프로젝트 성공적 완수,2019-02-19,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
