goal_id,employee_id,goal_type,goal_category,goal_description,target_period,set_date,target_completion_date,progress_percentage,status,final_achievement_rate,manager_id
GOAL00055,DIV001,OKR,혁신 과제,신규 아이디어 제안 및 실행 3건,2023 Q3,2023-07-03,2023-10-01,73,부분 달성,,EMP000
GOAL00056,DIV001,OKR,혁신 과제,신규 아이디어 제안 및 실행 3건,2023 Q3,2023-07-03,2023-10-01,76,부분 달성,,EMP000
GOAL00057,DIV001,OKR,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2023 Q3,2023-07-03,2023-10-01,81,완료,81.0,EMP000
GOAL00058,DIV001,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q4,2023-10-02,2023-12-31,84,완료,84.0,EMP000
GOAL00059,DIV001,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q4,2023-10-02,2023-12-31,91,완료,91.0,EMP000
GOAL00060,DIV001,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q4,2023-10-02,2023-12-31,90,완료,90.0,EMP000
GOAL00061,DIV001,OKR,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2024 Q1,2024-01-07,2024-04-06,82,완료,82.0,EMP000
GOAL00062,DIV001,OKR,역량 개발,데이터 분석 역량 강화 교육 이수,2024 Q1,2024-01-07,2024-04-06,81,완료,81.0,EMP000
GOAL00063,DIV001,KPI,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2024 Q1,2024-01-07,2024-04-06,91,완료,91.0,EMP000
GOAL00064,DIV001,OKR,프로젝트 완수,프로젝트 목표 품질 기준 98% 달성,2024 Q2,2024-04-05,2024-07-04,75,부분 달성,,EMP000
GOAL00065,DIV001,OKR,프로젝트 완수,프로젝트 목표 품질 기준 96% 달성,2024 Q2,2024-04-05,2024-07-04,76,부분 달성,,EMP000
GOAL00066,DIV001,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q2,2024-04-05,2024-07-04,90,완료,90.0,EMP000
GOAL00067,DIV001,MBO,프로세스 개선,업무 프로세스 효율성 27% 개선,2024 Q3,2024-07-07,2024-10-05,95,완료,95.0,EMP000
GOAL00068,DIV001,KPI,업무 성과,고객 만족도 27% 향상,2024 Q3,2024-07-07,2024-10-05,75,부분 달성,,EMP000
GOAL00069,DIV001,OKR,혁신 과제,신규 아이디어 제안 및 실행 3건,2024 Q4,2024-10-05,2025-01-03,77,부분 달성,,EMP000
GOAL00070,DIV001,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q4,2024-10-05,2025-01-03,79,부분 달성,,EMP000
GOAL00071,DIV001,OKR,프로젝트 완수,프로젝트 목표 품질 기준 99% 달성,2024 Q4,2024-10-05,2025-01-03,71,부분 달성,,EMP000
GOAL00072,DIV001,MBO,프로세스 개선,업무 프로세스 효율성 24% 개선,2024 Q4,2024-10-05,2025-01-03,97,완료,97.0,EMP000
GOAL00073,DIV002,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2022 Q1,2022-01-06,2022-04-06,100,완료,100.0,EMP000
GOAL00074,DIV002,MBO,프로젝트 완수,프로젝트 목표 품질 기준 95% 달성,2022 Q1,2022-01-06,2022-04-06,96,완료,96.0,EMP000
GOAL00075,DIV002,MBO,프로세스 개선,업무 프로세스 효율성 32% 개선,2022 Q1,2022-01-06,2022-04-06,87,완료,87.0,EMP000
GOAL00076,DIV002,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q2,2022-04-06,2022-07-05,70,부분 달성,,EMP000
GOAL00077,DIV002,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q2,2022-04-06,2022-07-05,90,완료,90.0,EMP000
GOAL00078,DIV002,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q2,2022-04-06,2022-07-05,98,완료,98.0,EMP000
GOAL00079,DIV002,OKR,혁신 과제,신규 아이디어 제안 및 실행 1건,2022 Q3,2022-07-05,2022-10-03,94,완료,94.0,EMP000
GOAL00080,DIV002,OKR,업무 성과,매출 21% 향상,2022 Q3,2022-07-05,2022-10-03,89,완료,89.0,EMP000
GOAL00081,DIV002,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q4,2022-10-07,2023-01-05,74,부분 달성,,EMP000
GOAL00082,DIV002,KPI,프로세스 개선,반복 업무 자동화로 시간 20% 절감,2022 Q4,2022-10-07,2023-01-05,88,완료,88.0,EMP000
GOAL00083,DIV002,OKR,업무 성과,핵심 업무 지표 목표치 115% 달성,2022 Q4,2022-10-07,2023-01-05,92,완료,92.0,EMP000
GOAL00084,DIV002,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q1,2023-01-01,2023-04-01,84,완료,84.0,EMP000
GOAL00085,DIV002,OKR,업무 성과,생산성 16% 향상,2023 Q1,2023-01-01,2023-04-01,74,부분 달성,,EMP000
GOAL00086,DIV002,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q2,2023-04-02,2023-07-01,81,완료,81.0,EMP000
GOAL00087,DIV002,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q2,2023-04-02,2023-07-01,90,완료,90.0,EMP000
GOAL00088,DIV002,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q3,2023-07-03,2023-10-01,71,부분 달성,,EMP000
GOAL00089,DIV002,OKR,프로세스 개선,업무 프로세스 효율성 33% 개선,2023 Q3,2023-07-03,2023-10-01,71,부분 달성,,EMP000
GOAL00090,DIV002,MBO,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2023 Q3,2023-07-03,2023-10-01,78,부분 달성,,EMP000
GOAL00091,DIV002,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q3,2023-07-03,2023-10-01,77,부분 달성,,EMP000
GOAL00092,DIV002,MBO,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q4,2023-10-07,2024-01-05,93,완료,93.0,EMP000
GOAL00093,DIV002,KPI,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2023 Q4,2023-10-07,2024-01-05,84,완료,84.0,EMP000
GOAL00094,DIV002,OKR,프로젝트 완수,개선 프로젝트 일정 내 완수,2023 Q4,2023-10-07,2024-01-05,76,부분 달성,,EMP000
GOAL00095,DIV002,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q4,2023-10-07,2024-01-05,88,완료,88.0,EMP000
GOAL00096,DIV002,KPI,업무 성과,핵심 업무 지표 목표치 108% 달성,2024 Q1,2024-01-03,2024-04-02,95,완료,95.0,EMP000
GOAL00097,DIV002,OKR,역량 개발,Python 역량 강화 교육 이수,2024 Q1,2024-01-03,2024-04-02,85,완료,85.0,EMP000
GOAL00098,DIV002,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2024 Q1,2024-01-03,2024-04-02,90,완료,90.0,EMP000
GOAL00099,DIV002,OKR,프로세스 개선,업무 프로세스 효율성 34% 개선,2024 Q2,2024-04-06,2024-07-05,76,부분 달성,,EMP000
GOAL00100,DIV002,MBO,업무 성과,고객 만족도 22% 향상,2024 Q2,2024-04-06,2024-07-05,87,완료,87.0,EMP000
GOAL00101,DIV002,OKR,혁신 과제,신규 아이디어 제안 및 실행 1건,2024 Q3,2024-07-03,2024-10-01,75,부분 달성,,EMP000
GOAL00102,DIV002,KPI,프로세스 개선,반복 업무 자동화로 시간 41% 절감,2024 Q3,2024-07-03,2024-10-01,84,완료,84.0,EMP000
GOAL00103,DIV002,KPI,업무 성과,생산성 21% 향상,2024 Q3,2024-07-03,2024-10-01,73,부분 달성,,EMP000
GOAL00104,DIV002,MBO,프로젝트 완수,프로젝트 목표 품질 기준 94% 달성,2024 Q4,2024-10-04,2025-01-02,86,완료,86.0,EMP000
GOAL00105,DIV002,OKR,업무 성과,핵심 업무 지표 목표치 96% 달성,2024 Q4,2024-10-04,2025-01-02,95,완료,95.0,EMP000
GOAL00106,DIV002,KPI,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2024 Q4,2024-10-04,2025-01-02,90,완료,90.0,EMP000
GOAL00107,DIV003,KPI,업무 성과,핵심 업무 지표 목표치 95% 달성,2022 Q1,2022-01-06,2022-04-06,75,부분 달성,,EMP000
GOAL00108,DIV003,OKR,업무 성과,핵심 업무 지표 목표치 119% 달성,2022 Q1,2022-01-06,2022-04-06,74,부분 달성,,EMP000
GOAL00109,DIV003,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2022 Q1,2022-01-06,2022-04-06,89,완료,89.0,EMP000
GOAL00110,DIV003,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q2,2022-04-04,2022-07-03,86,완료,86.0,EMP000
GOAL00111,DIV003,MBO,프로세스 개선,업무 프로세스 효율성 20% 개선,2022 Q2,2022-04-04,2022-07-03,71,부분 달성,,EMP000
GOAL00112,DIV003,KPI,역량 개발,AI/ML 역량 강화 교육 이수,2022 Q2,2022-04-04,2022-07-03,93,완료,93.0,EMP000
GOAL00113,DIV003,KPI,프로젝트 완수,개발 프로젝트 일정 내 완수,2022 Q2,2022-04-04,2022-07-03,96,완료,96.0,EMP000
GOAL00114,DIV003,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q3,2022-07-06,2022-10-04,91,완료,91.0,EMP000
GOAL00115,DIV003,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q3,2022-07-06,2022-10-04,84,완료,84.0,EMP000
GOAL00116,DIV003,KPI,혁신 과제,신규 아이디어 제안 및 실행 2건,2022 Q4,2022-10-02,2022-12-31,88,완료,88.0,EMP000
GOAL00117,DIV003,KPI,프로젝트 완수,프로젝트 목표 품질 기준 100% 달성,2022 Q4,2022-10-02,2022-12-31,84,완료,84.0,EMP000
GOAL00118,DIV003,OKR,프로세스 개선,업무 프로세스 효율성 25% 개선,2023 Q1,2023-01-07,2023-04-07,86,완료,86.0,EMP000
GOAL00119,DIV003,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q1,2023-01-07,2023-04-07,83,완료,83.0,EMP000
GOAL00120,DIV003,MBO,프로젝트 완수,프로젝트 목표 품질 기준 97% 달성,2023 Q1,2023-01-07,2023-04-07,76,부분 달성,,EMP000
GOAL00121,DIV003,KPI,업무 성과,매출 27% 향상,2023 Q1,2023-01-07,2023-04-07,95,완료,95.0,EMP000
GOAL00122,DIV003,OKR,업무 성과,핵심 업무 지표 목표치 104% 달성,2023 Q2,2023-04-03,2023-07-02,91,완료,91.0,EMP000
GOAL00123,DIV003,MBO,프로젝트 완수,프로젝트 목표 품질 기준 94% 달성,2023 Q2,2023-04-03,2023-07-02,95,완료,95.0,EMP000
GOAL00124,DIV003,MBO,프로세스 개선,반복 업무 자동화로 시간 21% 절감,2023 Q3,2023-07-01,2023-09-29,94,완료,94.0,EMP000
GOAL00125,DIV003,MBO,프로세스 개선,반복 업무 자동화로 시간 50% 절감,2023 Q3,2023-07-01,2023-09-29,99,완료,99.0,EMP000
GOAL00126,DIV003,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q3,2023-07-01,2023-09-29,89,완료,89.0,EMP000
GOAL00127,DIV003,MBO,프로세스 개선,반복 업무 자동화로 시간 43% 절감,2023 Q4,2023-10-07,2024-01-05,98,완료,98.0,EMP000
GOAL00128,DIV003,OKR,역량 개발,데이터 분석 역량 강화 교육 이수,2023 Q4,2023-10-07,2024-01-05,75,부분 달성,,EMP000
GOAL00129,DIV003,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q1,2024-01-06,2024-04-05,94,완료,94.0,EMP000
GOAL00130,DIV003,MBO,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2024 Q1,2024-01-06,2024-04-05,76,부분 달성,,EMP000
GOAL00131,DIV003,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q1,2024-01-06,2024-04-05,89,완료,89.0,EMP000
GOAL00132,DIV003,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q2,2024-04-05,2024-07-04,94,완료,94.0,EMP000
GOAL00133,DIV003,KPI,프로세스 개선,반복 업무 자동화로 시간 30% 절감,2024 Q2,2024-04-05,2024-07-04,85,완료,85.0,EMP000
GOAL00134,DIV003,KPI,업무 성과,품질 20% 향상,2024 Q2,2024-04-05,2024-07-04,92,완료,92.0,EMP000
GOAL00135,DIV003,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q3,2024-07-04,2024-10-02,78,부분 달성,,EMP000
GOAL00136,DIV003,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q3,2024-07-04,2024-10-02,80,완료,80.0,EMP000
GOAL00137,DIV003,KPI,업무 성과,고객 만족도 26% 향상,2024 Q3,2024-07-04,2024-10-02,97,완료,97.0,EMP000
GOAL00138,DIV003,OKR,업무 성과,핵심 업무 지표 목표치 114% 달성,2024 Q4,2024-10-02,2024-12-31,71,부분 달성,,EMP000
GOAL00139,DIV003,MBO,프로젝트 완수,개선 프로젝트 일정 내 완수,2024 Q4,2024-10-02,2024-12-31,84,완료,84.0,EMP000
GOAL00140,DIV003,MBO,프로젝트 완수,개발 프로젝트 일정 내 완수,2024 Q4,2024-10-02,2024-12-31,83,완료,83.0,EMP000
GOAL00141,DIV003,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q4,2024-10-02,2024-12-31,87,완료,87.0,EMP000
GOAL00142,TL001,MBO,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q1,2022-01-05,2022-04-05,92,완료,92.0,DIV001
GOAL00143,TL001,OKR,혁신 과제,신규 아이디어 제안 및 실행 3건,2022 Q1,2022-01-05,2022-04-05,72,부분 달성,,DIV001
GOAL00144,TL001,OKR,업무 성과,매출 26% 향상,2022 Q1,2022-01-05,2022-04-05,92,완료,92.0,DIV001
GOAL00145,TL001,KPI,프로세스 개선,반복 업무 자동화로 시간 22% 절감,2022 Q1,2022-01-05,2022-04-05,87,완료,87.0,DIV001
GOAL00146,TL001,MBO,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2022 Q2,2022-04-06,2022-07-05,82,완료,82.0,DIV001
GOAL00147,TL001,MBO,역량 개발,Python 역량 강화 교육 이수,2022 Q2,2022-04-06,2022-07-05,99,완료,99.0,DIV001
GOAL00148,TL001,KPI,혁신 과제,신규 아이디어 제안 및 실행 1건,2022 Q2,2022-04-06,2022-07-05,70,부분 달성,,DIV001
GOAL00149,TL001,OKR,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q2,2022-04-06,2022-07-05,70,부분 달성,,DIV001
GOAL00150,TL001,OKR,업무 성과,핵심 업무 지표 목표치 102% 달성,2022 Q3,2022-07-04,2022-10-02,96,완료,96.0,DIV001
GOAL00151,TL001,MBO,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2022 Q3,2022-07-04,2022-10-02,84,완료,84.0,DIV001
GOAL00152,TL001,OKR,혁신 과제,신규 아이디어 제안 및 실행 1건,2022 Q4,2022-10-04,2023-01-02,91,완료,91.0,DIV001
GOAL00153,TL001,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q4,2022-10-04,2023-01-02,93,완료,93.0,DIV001
GOAL00154,TL001,OKR,프로세스 개선,업무 프로세스 효율성 37% 개선,2022 Q4,2022-10-04,2023-01-02,89,완료,89.0,DIV001
GOAL00155,TL001,KPI,협업 강화,크로스 팀 협업 프로젝트 4건 이상 참여,2023 Q1,2023-01-01,2023-04-01,84,완료,84.0,DIV001
GOAL00156,TL001,OKR,프로젝트 완수,프로젝트 목표 품질 기준 95% 달성,2023 Q1,2023-01-01,2023-04-01,87,완료,87.0,DIV001
GOAL00157,TL001,OKR,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2023 Q2,2023-04-06,2023-07-05,77,부분 달성,,DIV001
GOAL00158,TL001,OKR,프로세스 개선,업무 프로세스 효율성 21% 개선,2023 Q2,2023-04-06,2023-07-05,87,완료,87.0,DIV001
GOAL00159,TL001,KPI,프로세스 개선,업무 프로세스 효율성 18% 개선,2023 Q2,2023-04-06,2023-07-05,84,완료,84.0,DIV001
GOAL00160,TL001,KPI,프로젝트 완수,프로젝트 목표 품질 기준 91% 달성,2023 Q2,2023-04-06,2023-07-05,70,부분 달성,,DIV001
GOAL00161,TL001,MBO,업무 성과,생산성 19% 향상,2023 Q3,2023-07-04,2023-10-02,84,완료,84.0,DIV001
GOAL00162,TL001,MBO,프로세스 개선,반복 업무 자동화로 시간 49% 절감,2023 Q3,2023-07-04,2023-10-02,73,부분 달성,,DIV001
GOAL00163,TL001,KPI,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2023 Q4,2023-10-07,2024-01-05,84,완료,84.0,DIV001
GOAL00164,TL001,KPI,프로젝트 완수,개선 프로젝트 일정 내 완수,2023 Q4,2023-10-07,2024-01-05,93,완료,93.0,DIV001
GOAL00165,TL001,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q1,2024-01-06,2024-04-05,84,완료,84.0,DIV001
GOAL00166,TL001,MBO,업무 성과,고객 만족도 24% 향상,2024 Q1,2024-01-06,2024-04-05,87,완료,87.0,DIV001
GOAL00167,TL001,MBO,역량 개발,리더십 역량 강화 교육 이수,2024 Q2,2024-04-06,2024-07-05,92,완료,92.0,DIV001
GOAL00168,TL001,MBO,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2024 Q2,2024-04-06,2024-07-05,70,부분 달성,,DIV001
GOAL00169,TL001,KPI,혁신 과제,신규 아이디어 제안 및 실행 3건,2024 Q2,2024-04-06,2024-07-05,70,부분 달성,,DIV001
GOAL00170,TL001,MBO,업무 성과,핵심 업무 지표 목표치 96% 달성,2024 Q2,2024-04-06,2024-07-05,87,완료,87.0,DIV001
GOAL00171,TL001,KPI,혁신 과제,신규 아이디어 제안 및 실행 1건,2024 Q3,2024-07-02,2024-09-30,83,완료,83.0,DIV001
GOAL00172,TL001,MBO,프로세스 개선,반복 업무 자동화로 시간 48% 절감,2024 Q3,2024-07-02,2024-09-30,76,부분 달성,,DIV001
GOAL00173,TL001,KPI,프로세스 개선,반복 업무 자동화로 시간 49% 절감,2024 Q3,2024-07-02,2024-09-30,75,부분 달성,,DIV001
GOAL00174,TL001,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q3,2024-07-02,2024-09-30,81,완료,81.0,DIV001
GOAL00175,TL001,MBO,업무 성과,고객 만족도 28% 향상,2024 Q4,2024-10-05,2025-01-03,75,부분 달성,,DIV001
GOAL00176,TL001,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2024 Q4,2024-10-05,2025-01-03,74,부분 달성,,DIV001
GOAL00177,TL001,MBO,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q4,2024-10-05,2025-01-03,100,완료,100.0,DIV001
GOAL00178,TL002,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q1,2022-01-07,2022-04-07,75,부분 달성,,DIV001
GOAL00179,TL002,OKR,혁신 과제,신규 아이디어 제안 및 실행 1건,2022 Q1,2022-01-07,2022-04-07,72,부분 달성,,DIV001
