survey_id,employee_id,org_id,org_name,division_name,survey_year,survey_date,q_psychological_safety,q_trust_in_leadership,q_collaboration,q_innovation_encouragement,q_work_life_balance,q_recognition,q_fairness,overall_team_satisfaction,qualitative_comment,would_recommend_team
TCULTURE00015,TL004,ORG202,플랫폼개발팀,기술본부,2023,2023-10-27,3.7,3.8,2.3,3.1,3.2,3.6,3.1,3.3,의사결정 과정이 불투명합니다. 정기 팀 미팅 활성화이 필요합니다.,3.5
TCULTURE00016,TL004,ORG202,플랫폼개발팀,기술본부,2024,2024-10-07,3.4,3.4,3.1,3.2,3.0,3.7,3.8,3.4,업무 분배가 불균형하다고 느낍니다. 리더의 적극적 소통이 필요합니다.,3.1
TCULTURE00017,TL005,ORG203,데이터분석팀,기술본부,2023,2023-11-22,5.0,4.4,5.0,4.3,3.9,4.6,4.6,4.5,팀장님이 개개인의 강점을 살려 활용해주십니다. 실패해도 배움의 기회로 삼으며해주셔서 감사합니다.,4.5
TCULTURE00018,TL005,ORG203,데이터분석팀,기술본부,2024,2024-11-03,4.3,4.5,4.3,4.4,4.8,4.6,4.7,4.5,우리 팀은 상호 신뢰이 매우 잘 형성되어 있습니다. 함께 문제를 해결하는 분위기가 정착되어 있어 팀에 대한 자부심이 큽니다.,4.4
TCULTURE00019,TL006,ORG204,IT기획팀,기술본부,2023,2023-10-18,2.3,1.8,2.3,1.0,2.1,2.5,2.8,2.1,의견 제시하면 무시당함합니다. 이런 환경에서는 창의성 발휘 어려움. 근본적 변화 필요.,2.3
TCULTURE00020,TL006,ORG204,IT기획팀,기술본부,2024,2024-11-05,2.7,1.2,2.5,1.5,1.8,2.4,3.3,2.2,과도한 주말 근무과 성과 무시로 조직 신뢰 붕괴 상황. 즉각적인 개입 요청합니다.,2.7
TCULTURE00021,TL007,ORG205,UI/UX디자인팀,기술본부,2023,2023-11-09,2.5,2.5,2.1,2.2,2.8,1.7,2.9,2.4,팀장의 소통 부재으로 팀 전체가 분열 상태입니다. 다수 팀원이 이직 준비. 시급한 조치 필요.,2.3
TCULTURE00022,TL007,ORG205,UI/UX디자인팀,기술본부,2024,2024-11-25,3.0,3.1,1.5,2.2,2.0,1.4,1.9,2.2,팀 문화가 심각한 수준입니다. 팀원 간 경쟁만 부추기고 협업 없음가 만연합니다. 더 이상 견디기 어려움.,4.0
TCULTURE00023,TL008,ORG206,QA팀,기술본부,2023,2023-10-26,2.9,3.7,3.0,2.1,2.3,2.9,2.8,2.8,팀 문화가 심각한 수준입니다. 야근이 강요되며 휴가 사용 눈치가 만연합니다. 이직 준비 중.,2.2
TCULTURE00024,TL008,ORG206,QA팀,기술본부,2024,2024-11-04,1.6,4.5,2.4,2.3,2.6,2.4,2.6,2.6,과도한 주말 근무과 보상 불공정로 조직 신뢰 붕괴 상황. 즉각적인 개입 요청합니다.,3.3
TCULTURE00025,TL009,ORG301,마케팅팀,비즈니스본부,2023,2023-10-23,3.4,2.9,3.4,3.3,4.2,4.1,3.6,3.6,팀 분위기가 예전만 못합니다. 업무 동기 저하로 인해 리더십 교체 검토 상황입니다.,2.9
TCULTURE00026,TL009,ORG301,마케팅팀,비즈니스본부,2024,2024-11-19,2.9,3.5,3.7,3.3,3.3,3.2,3.5,3.3,의사결정 과정이 불투명합니다. 프로세스 개선이 필요합니다.,2.3
TCULTURE00027,TL010,ORG302,영업팀,비즈니스본부,2023,2023-11-24,2.9,3.2,4.1,3.1,3.6,3.6,4.1,3.5,팀 비전이 명확하지 않습니다. 프로세스 개선이 필요합니다.,4.1
TCULTURE00028,TL010,ORG302,영업팀,비즈니스본부,2024,2024-11-15,3.5,3.3,3.2,3.4,3.3,3.8,3.7,3.5,팀 분위기가 침체되어 있습니다. 핵심 인재 이탈로 인해 문화 혁신 시급 상황입니다.,3.8
TCULTURE00029,EMP001,ORG101,HR팀,경영지원본부,2023,2023-10-23,4.5,4.7,4.0,4.4,3.9,4.5,4.4,4.3,업무 환경에 만족하고 있습니다. 다만 의사결정 속도가 다소 개선되면 더 좋을 것 같습니다.,4.4
TCULTURE00030,EMP001,ORG101,HR팀,경영지원본부,2024,2024-10-21,4.0,3.7,3.4,4.0,4.6,3.9,4.3,4.0,"팀 분위기는 긍정적입니다. 동료 간 협업은 좋으나, 더 나은 소통 측면에서 개선 여지가 있습니다.",4.3
TCULTURE00031,EMP002,ORG101,HR팀,경영지원본부,2024,2024-10-18,3.9,4.5,2.8,3.5,3.6,3.7,4.1,3.7,전반적으로 안정적인 팀입니다. 워라밸 개선이 보완되면 excellent한 팀이 될 것입니다.,4.1
TCULTURE00032,EMP004,ORG101,HR팀,경영지원본부,2023,2023-10-24,4.2,4.2,3.6,3.5,4.2,3.7,3.4,3.8,전반적으로 성장할 수 있는 팀입니다. 명확한 경력 경로이 보완되면 excellent한 팀이 될 것입니다.,4.4
TCULTURE00033,EMP004,ORG101,HR팀,경영지원본부,2024,2024-10-19,4.6,4.6,4.1,4.3,4.5,3.7,4.4,4.3,업무 환경에 만족하고 있습니다. 다만 과도한 회의가 다소 개선되면 더 좋을 것 같습니다.,4.1
TCULTURE00034,EMP005,ORG101,HR팀,경영지원본부,2023,2023-10-12,4.4,4.1,4.5,4.1,3.4,4.6,3.6,4.1,"팀 분위기는 긍정적입니다. 리더의 지원은 좋으나, 프로세스 개선 측면에서 개선 여지가 있습니다.",4.5
TCULTURE00035,EMP005,ORG101,HR팀,경영지원본부,2024,2024-11-09,4.0,4.5,4.5,4.2,4.2,4.2,3.2,4.1,협업 문화에 만족하고 있습니다. 다만 불필요한 보고가 다소 개선되면 더 좋을 것 같습니다.,4.0
TCULTURE00036,EMP006,ORG101,HR팀,경영지원본부,2024,2024-11-14,3.6,4.1,3.5,3.5,4.6,4.4,4.0,4.0,전반적으로 성장할 수 있는 팀입니다. 명확한 경력 경로이 보완되면 excellent한 팀이 될 것입니다.,4.1
TCULTURE00037,EMP007,ORG101,HR팀,경영지원본부,2023,2023-10-19,3.9,4.2,3.7,4.4,3.9,3.8,4.0,4.0,"팀 분위기는 대체로 만족스럽습니다. 동료 간 협업은 좋으나, 업무량 조절 측면에서 개선 여지가 있습니다.",3.8
TCULTURE00038,EMP007,ORG101,HR팀,경영지원본부,2024,2024-10-17,4.1,3.8,4.2,4.5,3.7,3.9,4.2,4.1,전반적으로 함께 일하기 좋은 팀입니다. 더 많은 도전 기회이 보완되면 excellent한 팀이 될 것입니다.,3.8
TCULTURE00039,EMP008,ORG101,HR팀,경영지원본부,2023,2023-11-02,4.2,4.2,4.4,3.8,3.6,3.9,3.6,4.0,업무 환경에 만족하고 있습니다. 다만 업무 분배가 다소 개선되면 더 좋을 것 같습니다.,4.2
TCULTURE00040,EMP008,ORG101,HR팀,경영지원본부,2024,2024-10-21,3.5,4.9,4.5,4.0,4.3,3.3,5.0,4.2,리더십 스타일에 만족하고 있습니다. 다만 업무 분배가 다소 개선되면 더 좋을 것 같습니다.,3.8
TCULTURE00041,EMP009,ORG101,HR팀,경영지원본부,2023,2023-10-09,4.0,3.3,4.2,3.6,4.0,3.8,3.6,3.8,전반적으로 함께 일하기 좋은 팀입니다. 공정한 보상이 보완되면 excellent한 팀이 될 것입니다.,3.7
TCULTURE00042,EMP009,ORG101,HR팀,경영지원본부,2024,2024-11-17,4.1,3.5,3.7,4.3,5.0,4.2,3.6,4.1,전반적으로 안정적인 팀입니다. 공정한 보상이 보완되면 excellent한 팀이 될 것입니다.,3.9
TCULTURE00043,EMP010,ORG101,HR팀,경영지원본부,2023,2023-11-26,4.0,3.9,4.4,4.1,4.4,3.9,4.5,4.2,리더십 스타일에 만족하고 있습니다. 다만 과도한 회의가 다소 개선되면 더 좋을 것 같습니다.,3.9
TCULTURE00044,EMP010,ORG101,HR팀,경영지원본부,2024,2024-11-09,3.6,4.9,3.3,3.7,3.7,5.0,4.7,4.1,"팀 분위기는 긍정적입니다. 리더의 지원은 좋으나, 업무량 조절 측면에서 개선 여지가 있습니다.",4.6
TCULTURE00045,EMP011,ORG101,HR팀,경영지원본부,2023,2023-10-27,3.9,5.0,4.1,4.4,4.1,4.0,3.9,4.2,"팀 분위기는 긍정적입니다. 동료 간 협업은 좋으나, 업무량 조절 측면에서 개선 여지가 있습니다.",3.9
TCULTURE00046,EMP011,ORG101,HR팀,경영지원본부,2024,2024-10-20,4.2,4.1,4.0,4.6,2.8,4.2,4.3,4.0,리더십 스타일에 만족하고 있습니다. 다만 과도한 회의가 다소 개선되면 더 좋을 것 같습니다.,4.5
TCULTURE00047,EMP012,ORG102,재무팀,경영지원본부,2023,2023-11-14,4.5,4.6,4.8,4.9,4.4,4.6,5.0,4.7,팀원 모두가 긍정적 에너지를 만들어가고 있습니다. 이 팀에서 최고의 경험입니다.,3.9
TCULTURE00048,EMP012,ORG102,재무팀,경영지원본부,2024,2024-10-25,4.3,4.9,4.8,4.7,4.4,4.2,4.3,4.5,팀장님이 팀원의 성장을 진심으로 지원해주십니다. 실패해도 배움의 기회로 삼으며해주셔서 감사합니다.,5.0
TCULTURE00049,EMP013,ORG102,재무팀,경영지원본부,2023,2023-11-24,4.3,4.5,4.3,4.8,4.3,4.5,4.0,4.4,팀원 모두가 서로 돕는 문화를 만들어가고 있습니다. 어려운 프로젝트도 함께라면 해낼 수 있다는 믿음입니다.,4.0
TCULTURE00050,EMP013,ORG102,재무팀,경영지원본부,2024,2024-10-28,4.5,4.1,5.0,3.9,4.3,4.5,4.4,4.4,팀원 모두가 긍정적 에너지를 만들어가고 있습니다. 어려운 프로젝트도 함께라면 해낼 수 있다는 믿음입니다.,4.2
TCULTURE00051,EMP014,ORG102,재무팀,경영지원본부,2023,2023-11-24,4.2,4.2,4.4,5.0,4.5,4.9,4.7,4.6,팀원 모두가 지식 공유를 만들어가고 있습니다. 어려운 프로젝트도 함께라면 해낼 수 있다는 믿음입니다.,4.8
TCULTURE00052,EMP014,ORG102,재무팀,경영지원본부,2024,2024-11-17,3.7,4.4,4.9,4.3,5.0,4.9,4.4,4.5,팀원 모두가 긍정적 에너지를 만들어가고 있습니다. 어려운 프로젝트도 함께라면 해낼 수 있다는 믿음입니다.,4.3
TCULTURE00053,EMP015,ORG102,재무팀,경영지원본부,2023,2023-10-19,4.2,4.3,4.1,4.6,4.1,4.7,4.7,4.4,팀장님이 개개인의 강점을 살려 활용해주십니다. 실패해도 배움의 기회로 삼으며해주셔서 감사합니다.,4.0
TCULTURE00054,EMP015,ORG102,재무팀,경영지원본부,2024,2024-11-20,5.0,4.7,4.7,4.3,4.7,4.8,4.5,4.7,우리 팀은 협력 문화이 매우 잘 형성되어 있습니다. 함께 문제를 해결하는 분위기가 정착되어 있어 팀에 대한 자부심이 큽니다.,5.0
TCULTURE00055,EMP016,ORG102,재무팀,경영지원본부,2023,2023-11-10,4.5,4.8,4.6,4.7,4.0,4.6,4.3,4.5,팀원 모두가 건설적 피드백를 만들어가고 있습니다. 이 팀에서 최고의 경험입니다.,4.2
TCULTURE00056,EMP016,ORG102,재무팀,경영지원본부,2024,2024-10-22,5.0,4.4,4.2,4.4,4.1,4.9,4.3,4.5,우리 팀은 심리적 안전감이 매우 잘 형성되어 있습니다. 실패를 두려워하지 않고 도전하는 분위기가 정착되어 있어 업무 만족도가 높습니다.,4.7
TCULTURE00057,EMP017,ORG102,재무팀,경영지원본부,2023,2023-11-03,4.9,4.3,4.7,4.2,5.0,4.8,4.4,4.6,팀원 모두가 긍정적 에너지를 만들어가고 있습니다. 이 팀에서 최고의 경험입니다.,4.3
TCULTURE00058,EMP017,ORG102,재무팀,경영지원본부,2024,2024-10-10,4.5,4.4,5.0,4.1,4.5,4.5,4.5,4.5,우리 팀은 심리적 안전감이 매우 잘 형성되어 있습니다. 서로 존중하며 성장하는 분위기가 정착되어 있어 팀에 대한 자부심이 큽니다.,4.5
TCULTURE00059,EMP018,ORG102,재무팀,경영지원본부,2023,2023-11-19,4.5,4.8,4.7,4.6,3.6,4.6,4.0,4.4,팀원 모두가 긍정적 에너지를 만들어가고 있습니다. 타 부서 동료들이 부러워하는 팀입니다.,4.7
TCULTURE00060,EMP018,ORG102,재무팀,경영지원본부,2024,2024-11-12,4.9,4.2,4.4,4.3,4.9,4.5,5.0,4.6,팀장님이 권한을 적절히 위임하고 신뢰해주십니다. 성과는 공정하게 인정하고해주셔서 감사합니다.,4.6
TCULTURE00061,EMP019,ORG102,재무팀,경영지원본부,2023,2023-10-17,4.6,4.5,4.7,4.0,4.5,4.5,4.7,4.5,팀장님이 공정하고 투명하게 의사결정해주십니다. 정기적인 1:1 미팅에서 커리어 고민을 함께 나누고해주셔서 감사합니다.,4.4
TCULTURE00062,EMP019,ORG102,재무팀,경영지원본부,2024,2024-10-20,4.2,4.5,4.2,3.9,4.7,4.7,4.6,4.4,팀원 모두가 지식 공유를 만들어가고 있습니다. 어려운 프로젝트도 함께라면 해낼 수 있다는 믿음입니다.,4.9
TCULTURE00063,EMP020,ORG102,재무팀,경영지원본부,2023,2023-10-11,4.3,4.1,4.5,4.4,4.2,4.5,4.3,4.3,팀원 모두가 지식 공유를 만들어가고 있습니다. 동료들과 함께 성장하는 느낌입니다.,3.9
TCULTURE00064,EMP020,ORG102,재무팀,경영지원본부,2024,2024-10-16,4.4,4.2,4.6,4.3,4.8,5.0,4.7,4.6,우리 팀은 개방적 소통이 매우 잘 형성되어 있습니다. 자유롭게 의견을 나누며 혁신하는 분위기가 정착되어 있어 업무 만족도가 높습니다.,4.0
TCULTURE00065,EMP021,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-04,4.3,4.3,3.5,4.2,3.2,2.6,3.1,3.6,성과 인정이 부족됩니다. 팀 문화 개선을 위한 팀 워크샵이 필요해 보입니다.,4.4
TCULTURE00066,EMP021,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-12,2.8,3.5,3.5,3.2,3.3,3.5,3.2,3.3,불공정한 평가됩니다. 팀 문화 개선을 위한 솔직한 대화의 장이 필요해 보입니다.,2.8
TCULTURE00067,EMP022,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-12,3.6,4.0,3.9,3.1,2.9,3.4,4.3,3.6,팀 비전이 명확하지 않습니다. 역할과 책임 명확화이 필요합니다.,3.8
TCULTURE00068,EMP022,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-16,3.9,3.9,3.7,3.6,3.8,3.2,2.8,3.6,불공정한 평가됩니다. 팀 문화 개선을 위한 HR 개입이 필요해 보입니다.,3.9
TCULTURE00069,EMP023,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-10,4.1,2.9,3.9,4.3,3.5,3.1,3.6,3.6,의사결정 과정이 불투명합니다. 리더의 적극적 소통이 필요합니다.,3.2
TCULTURE00070,EMP023,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-07,3.2,3.7,2.7,2.8,3.5,3.5,3.7,3.3,팀 분위기가 침체되어 있습니다. 업무 동기 저하로 인해 조직 개편 필요 상황입니다.,4.4
TCULTURE00071,EMP024,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-26,3.6,3.8,3.0,3.9,3.2,3.5,3.4,3.5,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,4.0
TCULTURE00072,EMP024,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-16,2.8,2.4,3.4,3.7,3.6,4.1,3.7,3.4,의사결정 과정이 불투명합니다. 프로세스 개선이 필요합니다.,3.2
TCULTURE00073,EMP025,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-17,2.3,3.4,4.0,3.3,3.5,3.7,3.0,3.3,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,3.8
TCULTURE00074,EMP025,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-07,4.3,3.4,2.9,3.5,2.4,3.7,3.7,3.4,업무 분배가 불균형하다고 느낍니다. 정기 팀 미팅 활성화이 필요합니다.,4.3
TCULTURE00075,EMP026,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-22,3.4,3.7,3.1,3.3,2.7,3.4,3.3,3.3,팀 내 소통이 원활하지 않을 때가 있습니다. 역할과 책임 명확화이 필요합니다.,3.6
TCULTURE00076,EMP026,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-17,3.2,3.5,3.3,3.3,3.5,3.5,3.9,3.5,팀 분위기가 예전만 못합니다. 리더 신뢰 문제로 인해 문화 혁신 시급 상황입니다.,3.4
TCULTURE00077,EMP027,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-10,3.3,3.4,3.1,3.3,4.5,3.0,3.4,3.4,업무량이 과도하여 번아웃 우려됩니다. 팀 문화 개선을 위한 팀 워크샵이 필요해 보입니다.,3.3
TCULTURE00078,EMP027,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-03,3.4,3.3,3.6,2.6,4.0,3.8,2.9,3.4,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 솔직한 대화의 장이 필요해 보입니다.,2.4
TCULTURE00079,EMP028,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-11,3.0,3.4,4.8,3.8,2.6,3.2,3.5,3.5,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,3.6
TCULTURE00080,EMP028,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-28,2.8,3.4,3.1,2.9,3.6,3.9,3.9,3.4,팀 비전이 명확하지 않습니다. 역할과 책임 명확화이 필요합니다.,3.8
TCULTURE00081,EMP029,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-21,3.3,3.9,3.7,3.6,3.2,3.3,3.5,3.5,팀 분위기가 점점 악화되는 느낌. 업무 동기 저하로 인해 리더십 교체 검토 상황입니다.,4.7
TCULTURE00082,EMP029,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-08,3.7,3.2,3.1,3.3,4.6,3.3,4.0,3.6,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 솔직한 대화의 장이 필요해 보입니다.,3.3
TCULTURE00083,EMP030,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-12,3.6,3.9,3.2,3.2,4.3,4.0,3.9,3.7,팀 분위기가 점점 악화되는 느낌. 리더 신뢰 문제로 인해 구성원 의견 청취 상황입니다.,3.9
TCULTURE00084,EMP030,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-08,3.7,4.5,3.5,3.8,2.8,3.1,2.9,3.5,업무량이 과도하여 번아웃 우려됩니다. 팀 문화 개선을 위한 팀 워크샵이 필요해 보입니다.,4.1
TCULTURE00085,EMP031,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-21,2.2,3.3,2.0,3.1,3.3,4.2,3.7,3.1,불공정한 평가됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,3.1
TCULTURE00086,EMP031,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-16,4.0,3.5,3.5,2.9,3.0,3.1,3.5,3.4,팀 분위기가 침체되어 있습니다. 리더 신뢰 문제로 인해 리더십 교체 검토 상황입니다.,3.5
TCULTURE00087,EMP032,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-26,4.3,3.7,2.1,3.6,2.8,3.0,3.1,3.2,불공정한 평가됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,3.2
TCULTURE00088,EMP032,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-27,2.8,3.6,2.8,3.7,4.6,2.8,3.4,3.4,팀 분위기가 예전만 못합니다. 리더 신뢰 문제로 인해 구성원 의견 청취 상황입니다.,2.2
TCULTURE00089,EMP033,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-04,3.3,3.8,3.9,3.5,3.9,4.8,4.4,3.9,팀 분위기가 점점 악화되는 느낌. 팀 내 갈등로 인해 조직 개편 필요 상황입니다.,3.2
TCULTURE00090,EMP033,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-07,2.8,3.3,3.0,3.7,2.9,3.5,3.9,3.3,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 팀 워크샵이 필요해 보입니다.,3.4
TCULTURE00091,EMP034,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-21,3.0,4.1,2.6,3.3,3.5,3.5,3.6,3.4,의사결정 과정이 불투명합니다. 정기 팀 미팅 활성화이 필요합니다.,3.8
TCULTURE00092,EMP034,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-23,3.5,3.3,3.3,3.2,3.9,3.2,3.9,3.5,불공정한 평가됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,3.5
TCULTURE00093,EMP035,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-18,3.2,3.8,3.1,3.8,3.6,3.2,3.8,3.5,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 솔직한 대화의 장이 필요해 보입니다.,3.8
TCULTURE00094,EMP035,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-02,4.1,4.0,3.7,2.9,4.7,2.8,4.0,3.7,의사결정 과정이 불투명합니다. 정기 팀 미팅 활성화이 필요합니다.,3.7
TCULTURE00095,EMP036,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-06,2.9,3.4,3.5,4.2,3.1,3.4,2.3,3.3,의사결정 과정이 불투명합니다. 프로세스 개선이 필요합니다.,4.4
TCULTURE00096,EMP036,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-23,3.0,3.7,3.4,3.5,3.9,4.3,3.6,3.6,업무 분배가 불균형하다고 느낍니다. 리더의 적극적 소통이 필요합니다.,3.8
TCULTURE00097,EMP037,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-14,3.7,4.0,3.3,4.0,4.1,4.0,3.2,3.8,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 리더십 변화이 필요해 보입니다.,3.4
TCULTURE00098,EMP037,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-07,3.6,2.8,4.3,3.5,3.6,3.2,2.8,3.4,팀 분위기가 점점 악화되는 느낌. 리더 신뢰 문제로 인해 리더십 교체 검토 상황입니다.,3.2
TCULTURE00099,EMP038,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-01,3.6,3.8,3.6,3.7,3.3,3.7,4.2,3.7,성장 기회가 제한적됩니다. 팀 문화 개선을 위한 팀 워크샵이 필요해 보입니다.,3.9
TCULTURE00100,EMP038,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-16,3.9,3.6,2.7,3.0,3.7,3.5,3.7,3.4,성과 인정이 부족됩니다. 팀 문화 개선을 위한 HR 개입이 필요해 보입니다.,4.3
TCULTURE00101,EMP039,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-20,3.9,4.1,3.5,3.1,3.5,3.1,4.3,3.6,불공정한 평가됩니다. 팀 문화 개선을 위한 팀 워크샵이 필요해 보입니다.,3.9
TCULTURE00102,EMP039,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-28,3.8,4.1,2.5,3.8,2.8,3.5,3.3,3.4,팀 분위기가 침체되어 있습니다. 리더 신뢰 문제로 인해 리더십 교체 검토 상황입니다.,3.8
TCULTURE00103,EMP040,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-07,3.6,4.2,3.2,3.9,3.6,2.7,3.0,3.5,의사결정 과정이 불투명합니다. 역할과 책임 명확화이 필요합니다.,3.4
TCULTURE00104,EMP040,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-20,4.1,3.7,2.9,3.4,4.5,3.6,3.3,3.6,팀 내 소통이 원활하지 않을 때가 있습니다. 리더의 적극적 소통이 필요합니다.,3.7
TCULTURE00105,EMP041,ORG201,AI솔루션개발팀,기술본부,2023,2023-10-25,3.9,3.3,3.8,3.3,3.9,3.6,3.7,3.6,업무 분배가 불균형하다고 느낍니다. 프로세스 개선이 필요합니다.,3.1
TCULTURE00106,EMP041,ORG201,AI솔루션개발팀,기술본부,2024,2024-11-07,3.1,4.0,3.5,3.6,3.3,3.9,3.2,3.5,팀 분위기가 점점 악화되는 느낌. 팀 내 갈등로 인해 리더십 교체 검토 상황입니다.,3.4
