review_id,employee_id,review_period,final_grade,manager_comment_development
REV0110,EMP012,2023 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0111,EMP012,2023 H2,B,기본 목표 달성. 무난한 업무 처리. 기술 역량 보완 필요.
REV0112,EMP012,2024 H1,C,목표 달성률 60%. 태도 문제 파악. PIP 수립 시급.
REV0113,EMP013,2022 H1,A,우수한 성과. 전략적 사고 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0114,EMP013,2022 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0115,EMP013,2023 H1,A,반기 목표 107% 달성. 안정적이고 우수한 성과. 도전적 과제 부여.
REV0116,EMP013,2023 H2,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0117,EMP013,2024 H1,A,책임감과 실행력 우수. 지속적 성장 기대.
REV0118,EMP014,2022 H1,A,반기 목표 120% 달성. 기대에 부응하는 기여. 승진 후보 검토.
REV0119,EMP014,2022 H2,C,개선 미흡. 3개월 내 태도 변화 없으면 계약 갱신 논의.
REV0120,EMP014,2023 H1,A,책임감과 실행력 우수. 핵심 프로젝트 투입.
REV0121,EMP014,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 교육 기회 지원.
REV0122,EMP014,2024 H1,A,반기 목표 108% 달성. 안정적이고 우수한 성과. 리더십 기회 제공 검토.
REV0123,EMP015,2022 H1,B,평범한 수준. 시야 확대 필요.
REV0124,EMP015,2022 H2,A,책임감과 실행력 우수. 보상 인센티브.
REV0125,EMP015,2023 H1,B,평균적 성과. 수동적 업무 태도. 1:1 코칭 지원.
REV0126,EMP015,2023 H2,B,기본 목표 달성. 무난한 업무 처리. 커뮤니케이션 개선 필요.
REV0127,EMP015,2024 H1,A,반기 목표 113% 달성. 전문성을 바탕으로 한 성과. 리더십 기회 제공 검토.
REV0128,EMP016,2022 H1,A,프로젝트 수행 능력 우수. 핵심 프로젝트 투입.
REV0129,EMP016,2022 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0130,EMP016,2023 H1,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0131,EMP016,2023 H2,B,평범한 수준. 자기주도적 개선 필요.
REV0132,EMP016,2024 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0133,EMP017,2023 H1,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0134,EMP017,2023 H2,C,목표 달성률 65%. 우선순위 오류 파악. 멘토링 강화 시급.
REV0135,EMP017,2024 H1,C,기대 이하 성과. 3개월 내 태도 변화 없으면 추가 조치.
REV0136,EMP018,2022 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0137,EMP018,2022 H2,A,기술적 전문성 우수. 보상 인센티브.
REV0138,EMP018,2023 H1,B,평균적 성과. 성장 정체 우려. 멘토 배정 지원.
REV0139,EMP018,2023 H2,B,기본 목표 달성. 일부 지연 발생. 효율성 제고 필요.
REV0140,EMP018,2024 H1,B,평균적 성과. 성장 정체 우려. 1:1 코칭 지원.
REV0141,EMP019,2022 H1,C,기대 이하 성과. 3개월 내 명확한 개선 없으면 계약 갱신 논의.
REV0142,EMP019,2022 H2,D,심각한 수준의 저성과. 역량 재평가 필요. 고용 유지 재검토.
REV0143,EMP019,2023 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0144,EMP019,2023 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0145,EMP019,2024 H1,B,평범한 수준. 자기주도적 개선 필요.
REV0146,EMP020,2022 H1,B,기대치 수준. 적극성 제고 필요.
REV0147,EMP020,2022 H2,C,목표 달성률 70%. 협업 어려움 파악. 업무 재배치 시급.
REV0148,EMP020,2023 H1,C,목표 달성률 72%. 우선순위 오류 파악. 업무 재배치 시급.
REV0149,EMP020,2023 H2,A,우수한 성과. 전략적 사고 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0150,EMP020,2024 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0151,EMP021,2023 H2,B,기본 목표 달성. 평균 수준 성과. 기술 역량 보완 필요.
REV0152,EMP021,2024 H1,A,반기 목표 117% 달성. 팀 목표 달성에 기여. 리더십 기회 제공 검토.
REV0153,EMP022,2022 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 개선 계획 지원.
REV0154,EMP022,2022 H2,B,안정적이나 도전 부족. 시야 확대 필요.
REV0155,EMP022,2023 H1,C,목표 달성률 66%. 역량 부족 파악. 업무 재배치 시급.
REV0156,EMP022,2023 H2,B,평균적 성과. 수동적 업무 태도. 교육 기회 지원.
REV0157,EMP022,2024 H1,D,심각한 수준의 저성과. 근본 원인 파악 필요. 업무 전환.
REV0158,EMP023,2022 H1,D,심각한 수준의 저성과. 근본 원인 파악 필요. PIP 즉시 적용.
REV0159,EMP023,2022 H2,S,exceptional한 전문성으로 조직에 큰 가치 창출. 경쟁사 스카우트 우려.
REV0160,EMP023,2023 H1,B,평균적 성과. 수동적 업무 태도. 1:1 코칭 지원.
REV0161,EMP023,2023 H2,C,목표 달성률 72%. 우선순위 오류 파악. 업무 재배치 시급.
REV0162,EMP023,2024 H1,S,반기 목표 139% 달성으로 탁월한 성과. 핵심 프로젝트를 성공으로 이끔. 핵심인재로 관리.
REV0163,EMP024,2023 H1,B,기본 목표 달성. 품질 기준 충족. 주도성 강화 필요.
REV0164,EMP024,2023 H2,D,심각한 수준의 저성과. 즉시 개선 조치 필요. 업무 전환.
REV0165,EMP024,2024 H1,D,심각한 수준의 저성과. 역량 재평가 필요. 업무 전환.
REV0166,EMP025,2023 H2,B,안정적이나 도전 부족. 적극성 제고 필요.
REV0167,EMP025,2024 H1,S,반기 목표 142% 달성으로 탁월한 성과. 팀 전체 성과 향상에 기여. 승진 적극 추천.
REV0168,EMP026,2022 H1,C,반복적 실수. 3개월 내 태도 변화 없으면 계약 갱신 논의.
REV0169,EMP026,2022 H2,C,기대 이하 성과. 3개월 내 역량 향상 없으면 진로 상담.
REV0170,EMP026,2023 H1,B,평균적 성과. 혁신 시도 미흡. 교육 기회 지원.
REV0171,EMP026,2023 H2,S,뛰어난 리더십으로 조직에 큰 가치 창출. 보상 패키지 재검토.
REV0172,EMP026,2024 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 교육 기회 지원.
REV0173,EMP027,2022 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0174,EMP027,2022 H2,A,협업 및 소통 역량 우수. 핵심 프로젝트 투입.
REV0175,EMP027,2023 H1,C,목표 달성률 64%. 협업 어려움 파악. 집중 육성 시급.
REV0176,EMP027,2023 H2,A,반기 목표 109% 달성. 기대에 부응하는 기여. 승진 후보 검토.
REV0177,EMP027,2024 H1,C,목표 달성률 60%. 협업 어려움 파악. 멘토링 강화 시급.
REV0178,EMP028,2022 H1,B,기본 목표 달성. 일부 지연 발생. 커뮤니케이션 개선 필요.
REV0179,EMP028,2022 H2,C,목표 달성률 65%. 역량 부족 파악. 집중 육성 시급.
REV0180,EMP028,2023 H1,S,창의적 문제 해결으로 조직에 큰 가치 창출. 보상 패키지 재검토.
REV0181,EMP028,2023 H2,C,목표 달성률 60%. 협업 어려움 파악. 업무 재배치 시급.
REV0182,EMP028,2024 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0183,EMP029,2022 H1,S,반기 목표 131% 달성으로 탁월한 성과. 기술적 난제 해결로 회사 발전 기여. 리더 역할 부여 검토.
REV0184,EMP029,2022 H2,C,목표 달성률 61%. 태도 문제 파악. 집중 육성 시급.
REV0185,EMP029,2023 H1,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0186,EMP029,2023 H2,S,반기 목표 148% 달성으로 탁월한 성과. 혁신적 아이디어로 비즈니스 임팩트. 리더 역할 부여 검토.
REV0187,EMP029,2024 H1,A,기술적 전문성 우수. 역량 확장 지원.
REV0188,EMP030,2022 H2,S,탁월한 실행력으로 조직에 큰 가치 창출. 경쟁사 스카우트 우려.
REV0189,EMP030,2023 H1,B,맡은 일은 하나 확장성 없음. 자기주도적 개선 필요.
REV0190,EMP030,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0191,EMP030,2024 H1,B,안정적이나 도전 부족. 더 높은 목표 설정 권장 필요.
REV0192,EMP031,2022 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0193,EMP031,2022 H2,B,기대치 수준. 더 높은 목표 설정 권장 필요.
REV0194,EMP031,2023 H1,C,목표 달성률 72%. 역량 부족 파악. 집중 육성 시급.
REV0195,EMP031,2023 H2,D,심각한 수준의 저성과. 적합성 검토 필요. 고용 유지 재검토.
REV0196,EMP031,2024 H1,B,맡은 일은 하나 확장성 없음. 자기주도적 개선 필요.
REV0197,EMP032,2022 H1,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0198,EMP032,2022 H2,D,심각한 수준의 저성과. 근본 원인 파악 필요. 업무 전환.
REV0199,EMP032,2023 H1,C,기대 이하 성과. 3개월 내 구체적 발전 없으면 계약 갱신 논의.
REV0200,EMP032,2023 H2,C,반복적 실수. 3개월 내 명확한 개선 없으면 계약 갱신 논의.
REV0201,EMP032,2024 H1,A,반기 목표 109% 달성. 팀 목표 달성에 기여. 리더십 기회 제공 검토.
REV0202,EMP033,2022 H1,B,기대치 수준. 자기주도적 개선 필요.
REV0203,EMP033,2022 H2,B,기본 목표 달성. 평균 수준 성과. 기술 역량 보완 필요.
REV0204,EMP033,2023 H1,C,목표 달성률 73%. 태도 문제 파악. 집중 육성 시급.
REV0205,EMP033,2023 H2,C,목표 달성률 66%. 역량 부족 파악. 멘토링 강화 시급.
REV0206,EMP033,2024 H1,C,목표 달성률 62%. 우선순위 오류 파악. PIP 수립 시급.
REV0207,EMP034,2023 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0208,EMP034,2023 H2,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0209,EMP034,2024 H1,C,목표 이해 부족. 3개월 내 역량 향상 없으면 추가 조치.
REV0210,EMP035,2022 H1,B,평균적 성과. 혁신 시도 미흡. 멘토 배정 지원.
REV0211,EMP035,2022 H2,C,반복적 실수. 3개월 내 구체적 발전 없으면 추가 조치.
REV0212,EMP035,2023 H1,A,기술적 전문성 우수. 보상 인센티브.
REV0213,EMP035,2023 H2,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0214,EMP035,2024 H1,B,기본 목표 달성. 일부 지연 발생. 기술 역량 보완 필요.
REV0215,EMP036,2022 H1,C,목표 달성률 66%. 협업 어려움 파악. 멘토링 강화 시급.
REV0216,EMP036,2022 H2,C,목표 달성률 69%. 태도 문제 파악. 집중 육성 시급.
REV0217,EMP036,2023 H1,A,협업 및 소통 역량 우수. 역량 확장 지원.
REV0218,EMP036,2023 H2,B,평범한 수준. 더 높은 목표 설정 권장 필요.
REV0219,EMP036,2024 H1,C,목표 달성률 63%. 우선순위 오류 파악. PIP 수립 시급.
REV0220,EMP037,2023 H2,B,평균적 성과. 혁신 시도 미흡. 멘토 배정 지원.
REV0221,EMP037,2024 H1,B,기본 목표 달성. 평균 수준 성과. 커뮤니케이션 개선 필요.
REV0222,EMP038,2022 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0223,EMP038,2022 H2,A,프로젝트 수행 능력 우수. 핵심 프로젝트 투입.
REV0224,EMP038,2023 H1,A,반기 목표 108% 달성. 안정적이고 우수한 성과. 전문가 트랙 육성.
REV0225,EMP038,2023 H2,A,반기 목표 114% 달성. 전문성을 바탕으로 한 성과. 전문가 트랙 육성.
REV0226,EMP038,2024 H1,B,평균적 성과. 성장 정체 우려. 멘토 배정 지원.
REV0227,EMP039,2022 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0228,EMP039,2023 H1,C,목표 달성률 70%. 역량 부족 파악. PIP 수립 시급.
REV0229,EMP039,2023 H2,B,기본 목표 달성. 일부 지연 발생. 커뮤니케이션 개선 필요.
REV0230,EMP039,2024 H1,B,맡은 일은 하나 확장성 없음. 더 높은 목표 설정 권장 필요.
REV0231,EMP040,2022 H1,B,평균적 성과. 성장 정체 우려. 1:1 코칭 지원.
REV0232,EMP040,2022 H2,A,반기 목표 109% 달성. 안정적이고 우수한 성과. 승진 후보 검토.
REV0233,EMP040,2023 H1,B,평범한 수준. 적극성 제고 필요.
REV0234,EMP040,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0235,EMP040,2024 H1,D,심각한 수준의 저성과. 즉시 개선 조치 필요. 업무 전환.
REV0236,EMP041,2022 H1,A,기술적 전문성 우수. 역량 확장 지원.
REV0237,EMP041,2022 H2,B,맡은 일은 하나 확장성 없음. 자기주도적 개선 필요.
REV0238,EMP041,2023 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0239,EMP041,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 개선 계획 지원.
REV0240,EMP041,2024 H1,B,평균적 성과. 성장 정체 우려. 1:1 코칭 지원.
REV0241,EMP042,2022 H1,D,심각한 수준의 저성과. 근본 원인 파악 필요. 전문가 코칭.
REV0242,EMP042,2022 H2,C,목표 달성률 72%. 역량 부족 파악. 업무 재배치 시급.
REV0243,EMP042,2023 H1,B,안정적이나 도전 부족. 자기주도적 개선 필요.
REV0244,EMP042,2023 H2,C,기대 이하 성과. 3개월 내 태도 변화 없으면 계약 갱신 논의.
REV0245,EMP042,2024 H1,B,기본 목표 달성. 무난한 업무 처리. 커뮤니케이션 개선 필요.
REV0246,EMP043,2022 H1,B,기대치 수준. 더 높은 목표 설정 권장 필요.
REV0247,EMP043,2022 H2,B,기본 목표 달성. 일부 지연 발생. 효율성 제고 필요.
REV0248,EMP043,2023 H1,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0249,EMP043,2023 H2,C,목표 달성률 66%. 역량 부족 파악. 집중 육성 시급.
REV0250,EMP043,2024 H1,A,반기 목표 120% 달성. 기대에 부응하는 기여. 리더십 기회 제공 검토.
REV0251,EMP045,2022 H1,C,반복적 실수. 3개월 내 구체적 발전 없으면 재배치 검토.
REV0252,EMP045,2022 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0253,EMP045,2023 H1,B,평균적 성과. 혁신 시도 미흡. 개선 계획 지원.
REV0254,EMP045,2023 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0255,EMP045,2024 H1,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0256,EMP046,2023 H1,S,기대를 크게 상회하는 성과. 프로젝트 수주 기여. 회사의 미래를 책임질 핵심 인재.
REV0257,EMP046,2023 H2,D,심각한 수준의 저성과. 적합성 검토 필요. 전문가 코칭.
REV0258,EMP046,2024 H1,C,목표 달성률 71%. 역량 부족 파악. 집중 육성 시급.
REV0259,EMP047,2022 H1,A,책임감과 실행력 우수. 역량 확장 지원.
REV0260,EMP047,2022 H2,C,목표 달성률 62%. 태도 문제 파악. PIP 수립 시급.
REV0261,EMP047,2023 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 교육 기회 지원.
REV0262,EMP047,2023 H2,C,개선 미흡. 3개월 내 명확한 개선 없으면 계약 갱신 논의.
REV0263,EMP047,2024 H1,D,심각한 수준의 저성과. 적합성 검토 필요. 업무 전환.
REV0264,EMP048,2024 H1,A,협업 및 소통 역량 우수. 핵심 프로젝트 투입.
REV0265,EMP049,2022 H1,B,기본 목표 달성. 일부 지연 발생. 커뮤니케이션 개선 필요.
