trait_id,employee_id,assessment_date,tool_name,openness,conscientiousness,extraversion,agreeableness,neuroticism,primary_strength,motivation_driver
TRAIT054,EMP041,2016-01-05,Big-5 성격검사,46,89,34,61,47,매우 높은 성실성,성취
TRAIT055,EMP042,2019-03-17,Big-5 성격검사,86,52,80,68,29,매우 높은 개방성,자율성
TRAIT056,EMP043,2019-11-28,Big-5 성격검사,71,72,49,68,38,높은 성실성,관계
TRAIT057,EMP045,2020-08-20,Big-5 성격검사,66,77,88,50,79,매우 높은 외향성,전문성
TRAIT058,EMP046,2023-03-12,Big-5 성격검사,35,68,70,71,35,높은 친화성,관계
TRAIT059,EMP047,2016-05-01,Big-5 성격검사,61,64,49,79,50,높은 친화성,관계
TRAIT060,EMP048,2024-07-18,Big-5 성격검사,54,80,65,79,55,매우 높은 성실성,성취
TRAIT061,EMP049,2019-03-26,Big-5 성격검사,52,63,73,76,44,높은 친화성,자율성
TRAIT062,EMP050,2020-07-15,Big-5 성격검사,66,85,49,75,41,매우 높은 성실성,성장
TRAIT063,EMP051,2021-11-26,Big-5 성격검사,61,83,74,79,65,매우 높은 성실성,인정
TRAIT064,EMP052,2021-01-13,Big-5 성격검사,65,78,54,72,42,높은 성실성,성장
TRAIT065,EMP053,2015-09-13,Big-5 성격검사,66,77,45,97,28,매우 높은 친화성,성장
TRAIT066,EMP055,2017-09-08,Big-5 성격검사,46,83,74,76,55,매우 높은 성실성,영향력
TRAIT067,EMP056,2022-01-21,Big-5 성격검사,64,59,61,58,60,개방성 우세,자율성
TRAIT068,EMP057,2016-11-21,Big-5 성격검사,62,60,54,73,35,높은 친화성,영향력
TRAIT069,EMP058,2022-09-07,Big-5 성격검사,52,72,64,60,37,높은 성실성,인정
TRAIT070,EMP059,2019-05-14,Big-5 성격검사,68,52,34,57,41,개방성 우세,전문성
TRAIT071,EMP060,2023-07-21,Big-5 성격검사,69,87,75,65,44,매우 높은 성실성,성장
TRAIT072,EMP061,2019-04-21,Big-5 성격검사,49,69,54,72,31,높은 친화성,관계
TRAIT073,EMP062,2023-04-16,Big-5 성격검사,72,88,58,73,56,매우 높은 성실성,성취
TRAIT074,EMP063,2021-05-09,Big-5 성격검사,58,72,60,69,32,높은 성실성,영향력
TRAIT075,EMP064,2017-01-27,Big-5 성격검사,65,75,86,81,79,매우 높은 외향성,안정
TRAIT076,EMP065,2019-12-15,Big-5 성격검사,53,80,63,98,32,매우 높은 친화성,안정
TRAIT077,EMP066,2023-05-12,Big-5 성격검사,52,62,21,60,32,성실성 우세,안정
TRAIT078,EMP067,2017-12-08,Big-5 성격검사,67,74,93,81,35,매우 높은 외향성,인정
TRAIT079,EMP068,2018-10-21,Big-5 성격검사,51,75,36,93,63,매우 높은 친화성,관계
TRAIT080,EMP069,2023-01-31,Big-5 성격검사,57,49,84,66,64,매우 높은 외향성,안정
TRAIT081,EMP070,2019-11-19,Big-5 성격검사,41,62,60,68,37,친화성 우세,영향력
TRAIT082,EMP071,2019-01-23,Big-5 성격검사,74,57,57,69,53,높은 개방성,성취
TRAIT083,EMP072,2018-11-11,Big-5 성격검사,75,56,32,85,50,매우 높은 친화성,성취
TRAIT084,EMP073,2021-11-01,Big-5 성격검사,53,88,62,84,46,매우 높은 성실성,자율성
TRAIT085,EMP074,2016-09-06,Big-5 성격검사,95,91,55,81,55,매우 높은 개방성,전문성
TRAIT086,EMP075,2018-03-27,Big-5 성격검사,85,58,72,82,16,매우 높은 개방성,자율성
TRAIT087,EMP076,2022-12-24,Big-5 성격검사,47,45,55,78,69,높은 친화성,성취
TRAIT088,EMP077,2023-10-15,Big-5 성격검사,66,89,35,44,44,매우 높은 성실성,안정
TRAIT089,EMP078,2019-03-02,Big-5 성격검사,70,69,22,66,24,높은 개방성,자율성
TRAIT090,EMP079,2017-01-27,Big-5 성격검사,75,74,43,60,28,높은 개방성,관계
TRAIT091,EMP080,2016-04-08,Big-5 성격검사,64,81,42,75,36,매우 높은 성실성,인정
TRAIT092,EMP081,2016-10-12,Big-5 성격검사,53,68,41,60,25,성실성 우세,관계
TRAIT093,EMP083,2024-11-13,Big-5 성격검사,94,70,47,70,43,매우 높은 개방성,영향력
TRAIT094,EMP084,2021-10-13,Big-5 성격검사,61,77,73,60,35,높은 성실성,성취
TRAIT095,EMP085,2019-08-25,Big-5 성격검사,60,42,32,87,71,매우 높은 친화성,성취
TRAIT096,EMP086,2022-05-21,Big-5 성격검사,61,76,65,100,62,매우 높은 친화성,성장
TRAIT097,EMP087,2015-04-11,Big-5 성격검사,63,58,31,70,32,높은 친화성,전문성
TRAIT098,EMP088,2019-08-24,Big-5 성격검사,43,62,40,91,59,매우 높은 친화성,인정
TRAIT099,EMP089,2021-07-24,Big-5 성격검사,64,87,61,55,69,매우 높은 성실성,인정
TRAIT100,EMP090,2023-02-26,Big-5 성격검사,73,57,56,55,22,높은 개방성,성취
TRAIT101,EMP091,2015-03-09,Big-5 성격검사,78,92,34,75,34,매우 높은 성실성,전문성
TRAIT102,EMP094,2017-08-23,Big-5 성격검사,57,62,44,68,31,친화성 우세,영향력
TRAIT103,EMP095,2021-08-30,Big-5 성격검사,69,69,55,55,35,개방성 우세,안정
TRAIT104,EMP096,2020-02-21,Big-5 성격검사,76,76,42,69,57,높은 개방성,성취
TRAIT105,EMP097,2022-03-02,Big-5 성격검사,39,76,48,75,32,높은 성실성,성장
TRAIT106,EMP100,2023-10-02,Big-5 성격검사,37,50,60,71,30,높은 친화성,인정
TRAIT107,EMP101,2018-05-04,Big-5 성격검사,74,50,58,51,34,높은 개방성,성취
TRAIT108,EMP102,2021-09-17,Big-5 성격검사,65,59,53,82,35,매우 높은 친화성,자율성
TRAIT109,EMP103,2020-07-10,Big-5 성격검사,77,56,69,88,10,매우 높은 친화성,전문성
TRAIT110,EMP104,2023-05-26,Big-5 성격검사,53,76,56,73,35,높은 성실성,안정
TRAIT111,EMP105,2019-03-23,Big-5 성격검사,66,68,81,71,50,매우 높은 외향성,자율성
TRAIT112,EMP106,2016-06-15,Big-5 성격검사,58,64,52,73,38,높은 친화성,성취
TRAIT113,EMP107,2020-11-05,Big-5 성격검사,69,94,75,63,64,매우 높은 성실성,영향력
TRAIT114,EMP108,2022-06-14,Big-5 성격검사,58,45,41,41,39,개방성 우세,전문성
TRAIT115,EMP109,2024-02-21,Big-5 성격검사,65,90,65,64,58,매우 높은 성실성,인정
TRAIT116,EMP110,2024-10-22,Big-5 성격검사,31,72,73,47,63,높은 외향성,자율성
TRAIT117,EMP111,2019-05-20,Big-5 성격검사,70,65,71,99,47,매우 높은 친화성,자율성
TRAIT118,EMP112,2015-11-09,Big-5 성격검사,68,64,44,79,31,높은 친화성,안정
TRAIT119,EMP113,2016-01-22,Big-5 성격검사,66,64,68,72,61,높은 친화성,자율성
TRAIT120,EMP114,2015-07-14,Big-5 성격검사,57,66,42,61,51,성실성 우세,성취
TRAIT121,EMP115,2017-01-04,Big-5 성격검사,76,58,75,86,51,매우 높은 친화성,자율성
TRAIT122,EMP116,2018-06-10,Big-5 성격검사,93,60,37,43,68,매우 높은 개방성,관계
TRAIT123,EMP117,2021-12-10,Big-5 성격검사,74,69,65,52,84,높은 개방성,영향력
TRAIT124,EMP119,2019-03-06,Big-5 성격검사,66,71,73,74,48,높은 친화성,영향력
TRAIT125,EMP120,2023-05-27,Big-5 성격검사,53,75,93,86,70,매우 높은 외향성,관계
TRAIT126,EMP121,2022-06-18,Big-5 성격검사,57,58,57,68,62,친화성 우세,안정
TRAIT127,EMP123,2023-07-18,Big-5 성격검사,39,88,57,62,28,매우 높은 성실성,성취
TRAIT128,EMP124,2016-03-13,Big-5 성격검사,40,79,61,49,24,높은 성실성,성장
TRAIT129,EMP125,2023-01-14,Big-5 성격검사,59,90,55,46,41,매우 높은 성실성,성장
TRAIT130,EMP126,2022-09-07,Big-5 성격검사,60,40,59,64,56,친화성 우세,자율성
TRAIT131,EMP127,2024-07-09,Big-5 성격검사,92,83,55,52,86,매우 높은 개방성,전문성
TRAIT132,EMP128,2020-01-09,Big-5 성격검사,65,70,59,70,42,높은 성실성,영향력
TRAIT133,EMP129,2017-12-15,Big-5 성격검사,56,63,59,60,33,성실성 우세,성취
TRAIT134,EMP130,2021-10-01,Big-5 성격검사,66,66,87,35,62,매우 높은 외향성,성장
TRAIT135,EMP131,2022-07-27,Big-5 성격검사,83,45,53,62,22,매우 높은 개방성,자율성
TRAIT136,EMP133,2016-01-03,Big-5 성격검사,53,56,91,81,65,매우 높은 외향성,자율성
TRAIT137,EMP134,2024-10-24,Big-5 성격검사,75,56,50,74,25,높은 개방성,안정
TRAIT138,EMP135,2023-05-26,Big-5 성격검사,75,67,53,77,52,높은 친화성,전문성
TRAIT139,EMP136,2024-07-13,Big-5 성격검사,59,83,40,76,54,매우 높은 성실성,영향력
TRAIT140,EMP137,2016-07-15,Big-5 성격검사,60,73,37,80,42,매우 높은 친화성,자율성
TRAIT141,EMP138,2017-10-15,Big-5 성격검사,57,82,47,48,20,매우 높은 성실성,영향력
TRAIT142,EMP139,2022-12-04,Big-5 성격검사,74,54,91,38,72,매우 높은 외향성,영향력
TRAIT143,EMP140,2024-12-10,Big-5 성격검사,68,68,50,73,44,높은 친화성,인정
TRAIT144,EMP141,2021-08-05,Big-5 성격검사,81,71,62,62,44,매우 높은 개방성,전문성
TRAIT145,EMP142,2019-11-28,Big-5 성격검사,69,49,35,78,47,높은 친화성,전문성
TRAIT146,EMP143,2022-09-26,Big-5 성격검사,62,70,66,60,32,높은 성실성,관계
TRAIT147,EMP144,2020-07-31,Big-5 성격검사,67,58,67,44,61,개방성 우세,인정
TRAIT148,EMP145,2021-03-23,Big-5 성격검사,72,73,77,91,61,매우 높은 친화성,안정
TRAIT149,EMP146,2017-09-11,Big-5 성격검사,37,54,48,68,53,친화성 우세,자율성
TRAIT150,EMP147,2022-06-11,Big-5 성격검사,54,72,46,59,22,높은 성실성,인정
TRAIT151,EMP148,2017-04-26,Big-5 성격검사,51,53,42,82,29,매우 높은 친화성,영향력
TRAIT152,EMP149,2021-03-15,Big-5 성격검사,100,75,63,55,56,매우 높은 개방성,전문성
TRAIT153,EMP150,2022-10-23,Big-5 성격검사,56,71,100,66,63,매우 높은 외향성,영향력
TRAIT154,EMP151,2016-09-16,Big-5 성격검사,54,69,91,59,73,매우 높은 외향성,영향력
TRAIT155,EMP152,2015-07-31,Big-5 성격검사,75,63,71,81,54,매우 높은 친화성,자율성
TRAIT156,EMP153,2018-12-31,Big-5 성격검사,41,61,55,66,54,친화성 우세,전문성
TRAIT157,EMP154,2017-01-01,Big-5 성격검사,67,53,66,76,53,높은 친화성,성취
TRAIT158,EMP155,2024-04-16,Big-5 성격검사,81,80,68,67,18,매우 높은 개방성,전문성
TRAIT159,EMP156,2015-10-25,Big-5 성격검사,71,72,64,50,27,높은 성실성,관계
TRAIT160,EMP157,2019-12-17,Big-5 성격검사,80,69,72,68,45,매우 높은 개방성,관계
TRAIT161,EMP158,2021-11-19,Big-5 성격검사,79,63,61,61,38,높은 개방성,영향력
TRAIT162,EMP159,2019-03-02,Big-5 성격검사,60,72,51,85,30,매우 높은 친화성,관계
TRAIT163,EMP160,2015-12-01,Big-5 성격검사,62,64,86,70,61,매우 높은 외향성,성장
TRAIT164,EMP161,2019-02-15,Big-5 성격검사,42,73,76,69,62,높은 외향성,자율성
TRAIT165,EMP162,2018-01-19,Big-5 성격검사,57,86,100,62,37,매우 높은 외향성,전문성
TRAIT166,EMP163,2016-01-22,Big-5 성격검사,86,88,50,62,40,매우 높은 성실성,성취
TRAIT167,EMP164,2021-06-22,Big-5 성격검사,44,58,41,57,44,성실성 우세,관계
TRAIT168,EMP166,2020-06-10,Big-5 성격검사,68,88,42,81,41,매우 높은 성실성,영향력
TRAIT169,EMP167,2021-11-28,Big-5 성격검사,64,78,39,73,47,높은 성실성,자율성
TRAIT170,EMP168,2016-11-06,Big-5 성격검사,72,73,100,59,36,매우 높은 외향성,안정
TRAIT171,EMP169,2018-11-12,Big-5 성격검사,55,63,48,84,67,매우 높은 친화성,관계
TRAIT172,EMP170,2019-02-08,Big-5 성격검사,56,60,68,60,55,외향성 우세,자율성
TRAIT173,EMP171,2016-05-21,Big-5 성격검사,68,51,87,93,35,매우 높은 친화성,자율성
TRAIT174,EMP172,2018-12-27,Big-5 성격검사,59,73,66,77,77,높은 친화성,인정
TRAIT175,EMP173,2017-09-20,Big-5 성격검사,62,60,35,57,44,개방성 우세,안정
TRAIT176,EMP174,2019-02-25,Big-5 성격검사,91,63,64,67,64,매우 높은 개방성,관계
TRAIT177,EMP175,2020-05-25,Big-5 성격검사,100,63,51,82,55,매우 높은 개방성,전문성
TRAIT178,EMP176,2019-07-14,Big-5 성격검사,92,77,53,76,62,매우 높은 개방성,안정
TRAIT179,EMP177,2024-03-05,Big-5 성격검사,77,76,79,84,67,매우 높은 친화성,인정
TRAIT180,EMP178,2024-08-01,Big-5 성격검사,74,67,62,84,31,매우 높은 친화성,영향력
TRAIT181,EMP179,2018-08-21,Big-5 성격검사,70,65,60,85,48,매우 높은 친화성,인정
TRAIT182,EMP180,2017-07-14,Big-5 성격검사,65,53,73,77,79,높은 친화성,영향력
TRAIT183,EMP181,2015-04-25,Big-5 성격검사,60,72,64,90,43,매우 높은 친화성,안정
TRAIT184,EMP182,2015-04-25,Big-5 성격검사,69,77,63,61,48,높은 성실성,안정
TRAIT185,EMP183,2016-11-10,Big-5 성격검사,81,57,62,58,64,매우 높은 개방성,관계
TRAIT186,EMP184,2018-12-27,Big-5 성격검사,42,63,66,89,43,매우 높은 친화성,안정
TRAIT187,EMP185,2015-05-13,Big-5 성격검사,56,92,33,37,52,매우 높은 성실성,자율성
TRAIT188,EMP186,2022-05-29,Big-5 성격검사,57,57,72,71,35,높은 외향성,자율성
TRAIT189,EMP187,2025-03-19,Big-5 성격검사,45,80,71,66,74,매우 높은 성실성,안정
TRAIT190,EMP188,2024-12-19,Big-5 성격검사,48,51,47,67,48,친화성 우세,인정
TRAIT191,EMP189,2017-01-28,Big-5 성격검사,61,74,37,88,43,매우 높은 친화성,관계
TRAIT192,EMP190,2022-11-11,Big-5 성격검사,81,74,68,75,52,매우 높은 개방성,관계
TRAIT193,EMP192,2016-04-30,Big-5 성격검사,74,85,63,77,43,매우 높은 성실성,성장
TRAIT194,EMP195,2015-07-04,Big-5 성격검사,86,61,92,67,22,매우 높은 외향성,성장
TRAIT195,EMP196,2022-06-14,Big-5 성격검사,66,61,75,58,37,높은 외향성,성장
