meeting_id,employee_id,manager_id,meeting_datetime,duration_minutes,discussion_topics,action_items,next_meeting_scheduled,employee_satisfaction_score,meeting_status
MTG000037,DIV002,EMP000,2023-02-19 10:00:00,30,교육 및 개발 기회 논의 | 개인 역량 개발 계획 | 업무 만족도 및 고충 상담,역량 개발 계획 수립,2023-03-18,3.7,완료
MTG000038,DIV002,EMP000,2023-03-02 10:30:00,45,성과 목표 검토 및 조정 | 팀 협업 및 커뮤니케이션,목표 수정 | 다음 주까지 실행,2023-03-29,3.5,완료
MTG000039,DIV002,EMP000,2023-04-26 11:30:00,45,성과 목표 검토 및 조정 | 업무 관련 어려움 및 지원 사항 | 교육 및 개발 기회 논의,목표 수정,2023-05-21,4.4,완료
MTG000040,DIV002,EMP000,2023-05-11 14:00:00,30,최근 프로젝트 피드백 | 교육 및 개발 기회 논의,다음 분기까지 검토 | 역량 개발 계획 수립,2023-06-12,4.5,완료
MTG000041,DIV002,EMP000,2023-06-25 12:30:00,30,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정 | 교육 및 개발 기회 논의,역량 개발 계획 수립,2023-07-22,4.4,완료
MTG000042,DIV002,EMP000,2023-07-01 16:00:00,45,교육 및 개발 기회 논의 | 커리어 개발 논의 | 차기 평가 준비,교육 신청 | 다음 주까지 완료,2023-08-04,4.5,완료
MTG000043,DIV002,EMP000,2023-08-19 12:00:00,45,커리어 개발 논의 | 개인 역량 개발 계획,목표 수정,2023-09-13,3.8,완료
MTG000044,DIV002,EMP000,2023-09-07 16:30:00,45,교육 및 개발 기회 논의 | 업무 관련 어려움 및 지원 사항 | 개인 역량 개발 계획,다음 주까지 실행 | 프로젝트 배정,2023-10-09,4.7,완료
MTG000045,DIV002,EMP000,2023-10-10 11:00:00,30,최근 프로젝트 피드백 | 업무 만족도 및 고충 상담,피드백 반영 | 이번 달 내 완료,2023-11-09,3.6,완료
MTG000046,DIV002,EMP000,2023-11-17 12:30:00,30,개인 역량 개발 계획 | 업무 관련 어려움 및 지원 사항,역량 개발 계획 수립,2023-12-12,4.3,완료
MTG000047,DIV002,EMP000,2023-12-16 15:30:00,60,교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션,다음 분기까지 실행,2024-01-16,4.3,완료
MTG000048,DIV002,EMP000,2024-01-02 11:30:00,60,최근 프로젝트 피드백 | 업무 진행 상황 점검,목표 수정 | 이번 달 내 검토,2024-02-04,4.0,완료
MTG000049,DIV002,EMP000,2024-01-31 15:30:00,30,개인 역량 개발 계획 | 업무 만족도 및 고충 상담,이번 달 내 검토,2024-03-03,4.1,완료
MTG000050,DIV002,EMP000,2024-03-07 11:00:00,45,팀 협업 및 커뮤니케이션 | 개인 역량 개발 계획 | 교육 및 개발 기회 논의,교육 신청 | 이번 달 내 실행,2024-04-05,4.8,완료
MTG000051,DIV002,EMP000,2024-04-17 10:30:00,60,업무 관련 어려움 및 지원 사항 | 개인 역량 개발 계획,프로젝트 배정,2024-05-17,3.9,완료
MTG000052,DIV002,EMP000,2024-05-02 11:30:00,60,업무 진행 상황 점검 | 최근 프로젝트 피드백,다음 분기까지 완료 | 교육 신청,2024-06-03,3.7,완료
MTG000053,DIV002,EMP000,2024-05-28 11:30:00,60,업무 진행 상황 점검 | 차기 평가 준비,다음 분기까지 실행,2024-06-26,3.6,완료
MTG000054,DIV002,EMP000,2024-07-13 11:00:00,60,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,다음 분기까지 검토 | 피드백 반영,2024-08-15,4.6,완료
MTG000055,DIV002,EMP000,2024-07-28 10:30:00,30,개인 역량 개발 계획 | 최근 프로젝트 피드백,프로젝트 배정,2024-08-28,4.3,완료
MTG000056,DIV002,EMP000,2024-09-13 15:30:00,30,개인 역량 개발 계획 | 커리어 개발 논의 | 팀 협업 및 커뮤니케이션,다음 분기까지 완료 | 목표 수정,2024-10-12,3.8,완료
MTG000057,DIV002,EMP000,2024-09-30 11:00:00,45,커리어 개발 논의 | 개인 역량 개발 계획,목표 수정,2024-11-03,4.3,완료
MTG000058,DIV002,EMP000,2024-10-31 10:30:00,30,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정 | 업무 관련 어려움 및 지원 사항,다음 분기까지 완료,2024-11-30,3.7,완료
MTG000059,DIV002,EMP000,2024-12-08 14:00:00,30,성과 목표 검토 및 조정 | 최근 프로젝트 피드백,이번 달 내 검토,2025-01-09,3.6,완료
MTG000060,DIV002,EMP000,2025-01-10 11:00:00,45,성과 목표 검토 및 조정 | 업무 관련 어려움 및 지원 사항,다음 주까지 실행 | 역량 개발 계획 수립,2025-02-13,3.9,완료
MTG000061,DIV002,EMP000,2025-02-06 12:30:00,30,업무 관련 어려움 및 지원 사항 | 업무 진행 상황 점검 | 성과 목표 검토 및 조정,이번 달 내 검토,2025-03-04,4.2,완료
MTG000062,DIV002,EMP000,2025-03-17 13:00:00,30,성과 목표 검토 및 조정 | 개인 역량 개발 계획,다음 분기까지 실행,2025-04-14,4.5,완료
MTG000063,DIV002,EMP000,2025-04-13 16:00:00,60,성과 목표 검토 및 조정 | 교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션,목표 수정 | 이번 달 내 검토,2025-05-08,4.8,완료
MTG000064,DIV002,EMP000,2025-04-27 13:30:00,60,커리어 개발 논의 | 교육 및 개발 기회 논의 | 업무 만족도 및 고충 상담,다음 주까지 실행 | 교육 신청,2025-06-01,3.7,완료
MTG000065,DIV002,EMP000,2025-05-21 12:30:00,60,팀 협업 및 커뮤니케이션 | 커리어 개발 논의,프로젝트 배정,2025-06-22,3.5,완료
MTG000066,DIV002,EMP000,2025-07-14 10:00:00,45,교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션 | 업무 만족도 및 고충 상담,피드백 반영 | 다음 주까지 실행,2025-08-15,4.2,완료
MTG000067,DIV002,EMP000,2025-08-03 11:00:00,30,업무 만족도 및 고충 상담 | 차기 평가 준비 | 커리어 개발 논의,다음 분기까지 완료,2025-09-02,4.0,완료
MTG000068,DIV002,EMP000,2025-09-12 10:30:00,60,개인 역량 개발 계획 | 교육 및 개발 기회 논의 | 업무 진행 상황 점검,목표 수정,2025-10-09,3.8,완료
MTG000069,DIV002,EMP000,2025-10-04 14:30:00,60,업무 진행 상황 점검 | 개인 역량 개발 계획 | 업무 만족도 및 고충 상담,프로젝트 배정,2025-11-07,4.2,완료
MTG000070,DIV002,EMP000,2025-10-30 10:30:00,45,커리어 개발 논의 | 교육 및 개발 기회 논의,다음 분기까지 검토 | 피드백 반영,2025-12-01,3.6,완료
MTG000071,DIV003,EMP000,2023-01-27 13:00:00,30,커리어 개발 논의 | 최근 프로젝트 피드백 | 업무 진행 상황 점검,다음 주까지 검토 | 역량 개발 계획 수립,2023-02-21,4.4,완료
MTG000072,DIV003,EMP000,2023-02-21 14:00:00,45,성과 목표 검토 및 조정 | 차기 평가 준비,역량 개발 계획 수립 | 다음 주까지 완료,2023-03-20,4.0,완료
MTG000073,DIV003,EMP000,2023-03-27 16:00:00,45,차기 평가 준비 | 성과 목표 검토 및 조정,교육 신청,2023-04-22,4.3,완료
MTG000074,DIV003,EMP000,2023-04-20 15:30:00,60,커리어 개발 논의 | 차기 평가 준비,피드백 반영,2023-05-18,4.6,완료
MTG000075,DIV003,EMP000,2023-05-12 14:00:00,30,개인 역량 개발 계획 | 최근 프로젝트 피드백,교육 신청,2023-06-06,3.7,완료
MTG000076,DIV003,EMP000,2023-06-02 10:30:00,30,성과 목표 검토 및 조정 | 커리어 개발 논의 | 업무 만족도 및 고충 상담,역량 개발 계획 수립 | 다음 분기까지 실행,2023-06-28,3.8,완료
MTG000077,DIV003,EMP000,2023-07-25 11:00:00,60,성과 목표 검토 및 조정 | 최근 프로젝트 피드백 | 업무 만족도 및 고충 상담,다음 분기까지 완료,2023-08-25,4.3,완료
MTG000078,DIV003,EMP000,2023-07-30 14:30:00,60,최근 프로젝트 피드백 | 개인 역량 개발 계획,목표 수정,2023-08-27,4.5,완료
MTG000079,DIV003,EMP000,2023-09-25 13:00:00,30,커리어 개발 논의 | 업무 관련 어려움 및 지원 사항,이번 달 내 실행,2023-10-26,3.7,완료
MTG000080,DIV003,EMP000,2023-10-05 13:30:00,45,커리어 개발 논의 | 성과 목표 검토 및 조정 | 팀 협업 및 커뮤니케이션,다음 분기까지 실행 | 역량 개발 계획 수립,2023-11-01,3.6,완료
MTG000081,DIV003,EMP000,2023-10-29 16:30:00,45,개인 역량 개발 계획 | 업무 관련 어려움 및 지원 사항,다음 주까지 검토 | 프로젝트 배정,2023-12-02,3.8,완료
MTG000082,DIV003,EMP000,2023-12-18 11:00:00,60,업무 만족도 및 고충 상담 | 업무 진행 상황 점검,이번 달 내 완료,2024-01-17,4.4,완료
MTG000083,DIV003,EMP000,2024-01-19 12:00:00,30,개인 역량 개발 계획 | 커리어 개발 논의 | 업무 만족도 및 고충 상담,역량 개발 계획 수립,2024-02-13,3.5,완료
MTG000084,DIV003,EMP000,2024-01-28 10:00:00,60,업무 만족도 및 고충 상담 | 팀 협업 및 커뮤니케이션,다음 분기까지 검토 | 교육 신청,2024-02-22,3.6,완료
MTG000085,DIV003,EMP000,2024-03-20 12:00:00,45,팀 협업 및 커뮤니케이션 | 개인 역량 개발 계획 | 커리어 개발 논의,다음 분기까지 검토,2024-04-24,4.1,완료
MTG000086,DIV003,EMP000,2024-04-21 10:00:00,30,팀 협업 및 커뮤니케이션 | 교육 및 개발 기회 논의,프로젝트 배정,2024-05-16,4.2,완료
MTG000087,DIV003,EMP000,2024-05-11 16:30:00,60,팀 협업 및 커뮤니케이션 | 개인 역량 개발 계획 | 업무 만족도 및 고충 상담,이번 달 내 검토 | 역량 개발 계획 수립,2024-06-06,4.9,완료
MTG000088,DIV003,EMP000,2024-05-26 12:00:00,60,업무 관련 어려움 및 지원 사항 | 업무 만족도 및 고충 상담,다음 주까지 검토 | 프로젝트 배정,2024-06-24,4.1,완료
MTG000089,DIV003,EMP000,2024-07-22 10:30:00,45,업무 진행 상황 점검 | 개인 역량 개발 계획 | 최근 프로젝트 피드백,다음 주까지 완료 | 교육 신청,2024-08-20,5.0,완료
MTG000090,DIV003,EMP000,2024-08-20 13:30:00,30,업무 진행 상황 점검 | 개인 역량 개발 계획,피드백 반영 | 다음 주까지 완료,2024-09-19,4.3,완료
MTG000091,DIV003,EMP000,2024-09-15 13:00:00,30,업무 진행 상황 점검 | 업무 만족도 및 고충 상담,다음 주까지 완료,2024-10-11,3.7,완료
MTG000092,DIV003,EMP000,2024-10-11 12:30:00,30,최근 프로젝트 피드백 | 업무 만족도 및 고충 상담,다음 분기까지 실행,2024-11-09,3.9,완료
MTG000093,DIV003,EMP000,2024-11-09 10:00:00,60,업무 관련 어려움 및 지원 사항 | 업무 진행 상황 점검 | 커리어 개발 논의,교육 신청 | 다음 주까지 실행,2024-12-14,3.9,완료
MTG000094,DIV003,EMP000,2024-11-28 10:00:00,30,최근 프로젝트 피드백 | 업무 만족도 및 고충 상담 | 차기 평가 준비,프로젝트 배정,2024-12-29,4.1,완료
MTG000095,DIV003,EMP000,2025-01-01 13:30:00,30,커리어 개발 논의 | 성과 목표 검토 및 조정,교육 신청,2025-01-27,4.7,완료
MTG000096,DIV003,EMP000,2025-01-20 12:30:00,60,성과 목표 검토 및 조정 | 최근 프로젝트 피드백,피드백 반영 | 이번 달 내 검토,2025-02-21,4.3,완료
MTG000097,DIV003,EMP000,2025-03-17 11:00:00,60,업무 만족도 및 고충 상담 | 차기 평가 준비 | 교육 및 개발 기회 논의,다음 분기까지 실행,2025-04-19,5.0,완료
MTG000098,DIV003,EMP000,2025-04-05 14:30:00,45,개인 역량 개발 계획 | 업무 진행 상황 점검 | 업무 만족도 및 고충 상담,다음 분기까지 실행 | 목표 수정,2025-05-08,3.7,완료
MTG000099,DIV003,EMP000,2025-04-20 12:30:00,30,교육 및 개발 기회 논의 | 업무 관련 어려움 및 지원 사항,다음 분기까지 실행,2025-05-18,3.9,완료
MTG000100,DIV003,EMP000,2025-06-13 16:30:00,60,차기 평가 준비 | 성과 목표 검토 및 조정,다음 주까지 실행,2025-07-16,4.9,완료
MTG000101,DIV003,EMP000,2025-07-17 12:30:00,60,팀 협업 및 커뮤니케이션 | 차기 평가 준비,다음 분기까지 실행,2025-08-21,4.4,완료
MTG000102,DIV003,EMP000,2025-07-24 13:00:00,60,개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션 | 업무 관련 어려움 및 지원 사항,목표 수정 | 이번 달 내 완료,2025-08-25,4.9,완료
MTG000103,DIV003,EMP000,2025-08-24 15:00:00,60,업무 진행 상황 점검 | 성과 목표 검토 및 조정 | 업무 만족도 및 고충 상담,교육 신청,2025-09-26,4.2,완료
MTG000104,DIV003,EMP000,2025-09-27 14:30:00,60,개인 역량 개발 계획 | 교육 및 개발 기회 논의,다음 주까지 실행 | 프로젝트 배정,2025-10-30,4.0,완료
MTG000105,DIV003,EMP000,2025-10-21 11:30:00,60,업무 만족도 및 고충 상담 | 업무 진행 상황 점검,다음 주까지 실행,2025-11-25,5.0,완료
MTG000106,TL001,DIV001,2023-01-03 10:30:00,30,팀 협업 및 커뮤니케이션 | 개인 역량 개발 계획 | 차기 평가 준비,피드백 반영,2023-02-07,4.0,완료
MTG000107,TL001,DIV001,2023-02-27 11:30:00,60,차기 평가 준비 | 성과 목표 검토 및 조정,프로젝트 배정 | 다음 분기까지 실행,2023-03-31,3.8,완료
MTG000108,TL001,DIV001,2023-03-06 15:30:00,60,업무 만족도 및 고충 상담 | 커리어 개발 논의 | 교육 및 개발 기회 논의,다음 분기까지 실행,2023-04-06,4.3,완료
MTG000109,TL001,DIV001,2023-04-05 16:00:00,45,업무 관련 어려움 및 지원 사항 | 업무 진행 상황 점검,피드백 반영 | 다음 분기까지 완료,2023-05-01,3.9,완료
MTG000110,TL001,DIV001,2023-05-20 10:30:00,45,커리어 개발 논의 | 팀 협업 및 커뮤니케이션,교육 신청 | 다음 분기까지 검토,2023-06-19,4.3,완료
MTG000111,TL001,DIV001,2023-06-24 13:00:00,60,성과 목표 검토 및 조정 | 교육 및 개발 기회 논의,교육 신청,2023-07-19,4.3,완료
MTG000112,TL001,DIV001,2023-07-02 15:00:00,60,업무 만족도 및 고충 상담 | 교육 및 개발 기회 논의,다음 주까지 실행,2023-07-28,5.0,완료
MTG000113,TL001,DIV001,2023-08-26 14:30:00,60,업무 만족도 및 고충 상담 | 팀 협업 및 커뮤니케이션 | 최근 프로젝트 피드백,피드백 반영 | 이번 달 내 실행,2023-09-26,4.6,완료
MTG000114,TL001,DIV001,2023-09-18 12:30:00,30,최근 프로젝트 피드백 | 업무 진행 상황 점검 | 개인 역량 개발 계획,프로젝트 배정 | 다음 주까지 검토,2023-10-18,4.5,완료
MTG000115,TL001,DIV001,2023-10-23 13:30:00,30,최근 프로젝트 피드백 | 업무 관련 어려움 및 지원 사항,피드백 반영,2023-11-19,4.5,완료
MTG000116,TL001,DIV001,2023-11-09 15:00:00,60,커리어 개발 논의 | 개인 역량 개발 계획,다음 주까지 실행 | 프로젝트 배정,2023-12-09,5.0,완료
MTG000117,TL001,DIV001,2023-12-02 13:00:00,30,업무 만족도 및 고충 상담 | 교육 및 개발 기회 논의,다음 분기까지 완료 | 역량 개발 계획 수립,2024-01-01,4.8,완료
MTG000118,TL001,DIV001,2023-12-30 14:30:00,30,차기 평가 준비 | 커리어 개발 논의,역량 개발 계획 수립 | 다음 주까지 실행,2024-01-31,4.2,완료
MTG000119,TL001,DIV001,2024-02-14 11:30:00,30,차기 평가 준비 | 업무 진행 상황 점검,프로젝트 배정 | 다음 분기까지 검토,2024-03-18,4.6,완료
MTG000120,TL001,DIV001,2024-03-13 15:00:00,60,업무 진행 상황 점검 | 커리어 개발 논의,다음 분기까지 완료 | 피드백 반영,2024-04-09,3.6,완료
MTG000121,TL001,DIV001,2024-03-30 10:30:00,45,개인 역량 개발 계획 | 최근 프로젝트 피드백,교육 신청 | 다음 분기까지 완료,2024-04-30,3.7,완료
MTG000122,TL001,DIV001,2024-04-26 12:30:00,30,최근 프로젝트 피드백 | 차기 평가 준비,목표 수정 | 다음 주까지 실행,2024-05-22,4.7,완료
MTG000123,TL001,DIV001,2024-06-06 12:00:00,30,개인 역량 개발 계획 | 업무 진행 상황 점검 | 성과 목표 검토 및 조정,다음 분기까지 검토,2024-07-02,3.8,완료
MTG000124,TL001,DIV001,2024-07-18 15:00:00,45,팀 협업 및 커뮤니케이션 | 커리어 개발 논의,이번 달 내 완료 | 프로젝트 배정,2024-08-17,4.7,완료
MTG000125,TL001,DIV001,2024-08-04 16:00:00,60,업무 만족도 및 고충 상담 | 커리어 개발 논의,역량 개발 계획 수립,2024-09-03,4.3,완료
MTG000126,TL001,DIV001,2024-09-04 13:30:00,45,교육 및 개발 기회 논의 | 커리어 개발 논의 | 최근 프로젝트 피드백,이번 달 내 검토 | 목표 수정,2024-10-02,4.4,완료
MTG000127,TL001,DIV001,2024-10-16 16:30:00,30,성과 목표 검토 및 조정 | 차기 평가 준비 | 업무 만족도 및 고충 상담,교육 신청 | 다음 주까지 완료,2024-11-15,3.5,완료
MTG000128,TL001,DIV001,2024-11-08 13:00:00,45,업무 관련 어려움 및 지원 사항 | 개인 역량 개발 계획 | 업무 진행 상황 점검,교육 신청,2024-12-10,3.7,완료
MTG000129,TL001,DIV001,2024-12-14 13:00:00,60,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,프로젝트 배정,2025-01-13,4.0,완료
MTG000130,TL001,DIV001,2024-12-30 16:00:00,45,팀 협업 및 커뮤니케이션 | 업무 만족도 및 고충 상담,이번 달 내 실행 | 프로젝트 배정,2025-02-02,3.9,완료
MTG000131,TL001,DIV001,2025-02-01 16:30:00,60,업무 관련 어려움 및 지원 사항 | 커리어 개발 논의 | 개인 역량 개발 계획,피드백 반영 | 다음 주까지 검토,2025-03-01,5.0,완료
MTG000132,TL001,DIV001,2025-02-19 16:30:00,60,업무 관련 어려움 및 지원 사항 | 성과 목표 검토 및 조정,역량 개발 계획 수립,2025-03-21,4.1,완료
MTG000133,TL001,DIV001,2025-04-12 11:00:00,30,최근 프로젝트 피드백 | 개인 역량 개발 계획,다음 분기까지 실행,2025-05-14,4.7,완료
MTG000134,TL001,DIV001,2025-04-27 15:00:00,60,차기 평가 준비 | 업무 만족도 및 고충 상담,역량 개발 계획 수립,2025-05-23,4.8,완료
MTG000135,TL001,DIV001,2025-06-06 11:30:00,45,업무 만족도 및 고충 상담 | 커리어 개발 논의 | 개인 역량 개발 계획,피드백 반영 | 다음 주까지 검토,2025-07-02,3.7,완료
MTG000136,TL001,DIV001,2025-07-06 15:30:00,45,커리어 개발 논의 | 교육 및 개발 기회 논의 | 개인 역량 개발 계획,이번 달 내 검토,2025-08-10,5.0,완료
MTG000137,TL001,DIV001,2025-08-10 15:00:00,45,최근 프로젝트 피드백 | 교육 및 개발 기회 논의,이번 달 내 검토,2025-09-06,3.7,완료
MTG000138,TL001,DIV001,2025-08-29 11:30:00,30,개인 역량 개발 계획 | 최근 프로젝트 피드백,이번 달 내 완료 | 교육 신청,2025-10-02,4.6,완료
MTG000139,TL001,DIV001,2025-10-11 11:30:00,30,업무 만족도 및 고충 상담 | 커리어 개발 논의,교육 신청,2025-11-08,3.8,완료
MTG000140,TL001,DIV001,2025-10-26 15:00:00,30,개인 역량 개발 계획 | 커리어 개발 논의 | 팀 협업 및 커뮤니케이션,다음 주까지 실행,2025-11-27,3.6,완료
MTG000141,TL002,DIV001,2023-01-12 16:00:00,45,교육 및 개발 기회 논의 | 업무 관련 어려움 및 지원 사항 | 최근 프로젝트 피드백,프로젝트 배정 | 다음 분기까지 검토,2023-02-13,4.0,완료
MTG000142,TL002,DIV001,2023-02-25 10:00:00,30,개인 역량 개발 계획 | 업무 진행 상황 점검 | 성과 목표 검토 및 조정,다음 분기까지 검토 | 목표 수정,2023-03-31,4.3,완료
MTG000143,TL002,DIV001,2023-03-18 16:00:00,45,업무 진행 상황 점검 | 업무 만족도 및 고충 상담,다음 분기까지 실행 | 목표 수정,2023-04-12,4.7,완료
MTG000144,TL002,DIV001,2023-04-09 10:30:00,60,커리어 개발 논의 | 업무 관련 어려움 및 지원 사항 | 업무 만족도 및 고충 상담,이번 달 내 완료,2023-05-09,4.7,완료
MTG000145,TL002,DIV001,2023-05-13 16:30:00,30,교육 및 개발 기회 논의 | 업무 진행 상황 점검 | 업무 관련 어려움 및 지원 사항,다음 분기까지 검토 | 목표 수정,2023-06-10,3.9,완료
MTG000146,TL002,DIV001,2023-06-27 12:30:00,30,업무 진행 상황 점검 | 최근 프로젝트 피드백,다음 주까지 검토 | 역량 개발 계획 수립,2023-07-28,4.3,완료
